componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,816,897,BRC0529F,Nome não encontrado
Energia,kcal,195,214,BRC0529F,Nome não encontrado
Umidade,g,"63,4","69,7",BRC0529F,Nome não encontrado
Carboidrato total,g,"13,5","14,8",BRC0529F,Nome não encontrado
Carboidrato disponível,g,"12,6","13,8",BRC0529F,Nome não encontrado
Proteína,g,"10,7","11,8",BRC0529F,Nome não encontrado
Lipídios,g,"11,1","12,3",BRC0529F,Nome não encontrado
Fibra alimentar,g,"0,90","0,99",BRC0529F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0529F,Nome não encontrado
Cinzas,g,"1,25","1,37",BRC0529F,Nome não encontrado
Colesterol,mg,"33,6","36,9",BRC0529F,Nome não encontrado
Ácidos graxos saturados,g,"3,90","4,29",BRC0529F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,76","5,24",BRC0529F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,91","2,10",BRC0529F,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,02",BRC0529F,Nome não encontrado
Cálcio,mg,"10,7","11,8",BRC0529F,Nome não encontrado
Ferro,mg,"0,57","0,62",BRC0529F,Nome não encontrado
Sódio,mg,257,283,BRC0529F,Nome não encontrado
Magnésio,mg,"9,27","10,2",BRC0529F,Nome não encontrado
Fósforo,mg,"75,2","82,7",BRC0529F,Nome não encontrado
Potássio,mg,143,157,BRC0529F,Nome não encontrado
Manganês,mg,"0,08","0,09",BRC0529F,Nome não encontrado
Zinco,mg,"1,09","1,20",BRC0529F,Nome não encontrado
Cobre,mg,"0,05","0,05",BRC0529F,Nome não encontrado
Selênio,mcg,"2,24","2,46",BRC0529F,Nome não encontrado
Vitamina A (RE),mcg,"5,69","6,26",BRC0529F,Nome não encontrado
Vitamina A (RAE),mcg,"5,78","6,36",BRC0529F,Nome não encontrado
Vitamina D,mcg,"0,08","0,09",BRC0529F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,30",BRC0529F,Nome não encontrado
Tiamina,mg,"0,21","0,24",BRC0529F,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0529F,Nome não encontrado
Niacina,mg,"3,06","3,36",BRC0529F,Nome não encontrado
Vitamina B6,mg,"0,05","0,05",BRC0529F,Nome não encontrado
Vitamina B12,mcg,"0,32","0,35",BRC0529F,Nome não encontrado
Vitamina C,mg,"3,77","4,14",BRC0529F,Nome não encontrado
Equivalente de folato,mcg,"7,18","7,90",BRC0529F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0529F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0529F,Nome não encontrado
Gordura de adição,g,-,-,BRC0529F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0529F,Nome não encontrado
Proteína animal,g,-,-,BRC0529F,Nome não encontrado
