componente,unidade,Valor por 100g,Colher servir cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,739,739,BRC0558A,Nome não encontrado
Energia,kcal,176,176,BRC0558A,Nome não encontrado
Umidade,g,"61,5","61,5",BRC0558A,Nome não encontrado
Carboidrato total,g,"17,8","17,8",BRC0558A,Nome não encontrado
Carboidrato disponível,g,"16,5","16,5",BRC0558A,Nome não encontrado
Proteína,g,"11,7","11,7",BRC0558A,Nome não encontrado
Lipídios,g,"6,75","6,75",BRC0558A,Nome não encontrado
Fibra alimentar,g,"1,27","1,27",BRC0558A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0558A,Nome não encontrado
Cinzas,g,"2,29","2,29",BRC0558A,Nome não encontrado
Colesterol,mg,"35,7","35,7",BRC0558A,Nome não encontrado
Ácidos graxos saturados,g,"3,42","3,42",BRC0558A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,73","1,73",BRC0558A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,77",BRC0558A,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,18",BRC0558A,Nome não encontrado
Cálcio,mg,162,162,BRC0558A,Nome não encontrado
Ferro,mg,"1,16","1,16",BRC0558A,Nome não encontrado
Sódio,mg,561,561,BRC0558A,Nome não encontrado
Magnésio,mg,"10,8","10,8",BRC0558A,Nome não encontrado
Fósforo,mg,146,146,BRC0558A,Nome não encontrado
Potássio,mg,121,121,BRC0558A,Nome não encontrado
Manganês,mg,"0,12","0,12",BRC0558A,Nome não encontrado
Zinco,mg,"1,08","1,08",BRC0558A,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0558A,Nome não encontrado
Selênio,mcg,"6,73","6,73",BRC0558A,Nome não encontrado
Vitamina A (RE),mcg,"49,7","49,7",BRC0558A,Nome não encontrado
Vitamina A (RAE),mcg,"36,7","36,7",BRC0558A,Nome não encontrado
Vitamina D,mcg,"0,05","0,05",BRC0558A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,33",BRC0558A,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0558A,Nome não encontrado
Riboflavina,mg,"0,05","0,05",BRC0558A,Nome não encontrado
Niacina,mg,"2,87","2,87",BRC0558A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0558A,Nome não encontrado
Vitamina B12,mcg,"0,52","0,52",BRC0558A,Nome não encontrado
Vitamina C,mg,"3,58","3,58",BRC0558A,Nome não encontrado
Equivalente de folato,mcg,"49,5","49,5",BRC0558A,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0558A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0558A,Nome não encontrado
Gordura de adição,g,-,-,BRC0558A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0558A,Nome não encontrado
Proteína animal,g,-,-,BRC0558A,Nome não encontrado
