componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,318,47,BRC0569F,Nome não encontrado
Energia,kcal,75,11,BRC0569F,Nome não encontrado
Umidade,g,"79,2","11,9",BRC0569F,Nome não encontrado
Carboidrato total,g,"0,01","0,00",BRC0569F,Nome não encontrado
Carboidrato disponível,g,"0,01","0,00",BRC0569F,Nome não encontrado
Proteína,g,"18,5","2,78",BRC0569F,Nome não encontrado
Lipídios,g,"0,10","0,02",BRC0569F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0569F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0569F,Nome não encontrado
Cinzas,g,"2,20","0,33",BRC0569F,Nome não encontrado
Colesterol,mg,"40,0","6,00",BRC0569F,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,00",BRC0569F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0569F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,01",BRC0569F,Nome não encontrado
Ácidos graxos trans,g,,,BRC0569F,Nome não encontrado
Cálcio,mg,"6,00","0,90",BRC0569F,Nome não encontrado
Ferro,mg,"42,0","6,30",BRC0569F,Nome não encontrado
Sódio,mg,207,"31,1",BRC0569F,Nome não encontrado
Magnésio,mg,"9,00","1,35",BRC0569F,Nome não encontrado
Fósforo,mg,"74,0","11,1",BRC0569F,Nome não encontrado
Potássio,mg,174,"26,1",BRC0569F,Nome não encontrado
Manganês,mg,"6,80","1,02",BRC0569F,Nome não encontrado
Zinco,mg,"0,30","0,05",BRC0569F,Nome não encontrado
Cobre,mg,"0,14","0,02",BRC0569F,Nome não encontrado
Selênio,mcg,"14,0","2,10",BRC0569F,Nome não encontrado
Vitamina A (RE),mcg,"30,0","4,50",BRC0569F,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0569F,Nome não encontrado
Vitamina D,mcg,"0,10","0,02",BRC0569F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0569F,Nome não encontrado
Tiamina,mg,"0,09","0,01",BRC0569F,Nome não encontrado
Riboflavina,mg,"0,03","0,00",BRC0569F,Nome não encontrado
Niacina,mg,,,BRC0569F,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0569F,Nome não encontrado
Vitamina B12,mcg,"0,60","0,09",BRC0569F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0569F,Nome não encontrado
Equivalente de folato,mcg,,,BRC0569F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0569F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0569F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0569F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0569F,Nome não encontrado
Proteína animal,g,"18,5","2,78",BRC0569F,Nome não encontrado
