componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 ),codigo_alimento,nome_alimento
Energia,kJ,498,248,547,447,BRC0615A,Nome não encontrado
Energia,kcal,118,58,129,106,BRC0615A,Nome não encontrado
Umidade,g,"70,0","35,0","77,0","63,0",BRC0615A,Nome não encontrado
Carboidrato total,g,"19,9","9,95","21,9","17,9",BRC0615A,Nome não encontrado
Carboidrato disponível,g,"17,0","8,49","18,7","15,3",BRC0615A,Nome não encontrado
Proteína,g,"7,33","3,67","8,07","6,60",BRC0615A,Nome não encontrado
Lipídios,g,"1,65","0,82","1,81","1,48",BRC0615A,Nome não encontrado
Fibra alimentar,g,"2,93","1,47","3,22","2,64",BRC0615A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0615A,Nome não encontrado
Cinzas,g,"1,28","0,64","1,41","1,15",BRC0615A,Nome não encontrado
Colesterol,mg,"9,99","4,99","11,0","8,99",BRC0615A,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,19","0,41","0,34",BRC0615A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,19","0,41","0,34",BRC0615A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,37","0,82","0,67",BRC0615A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01","0,01",BRC0615A,Nome não encontrado
Cálcio,mg,"8,88","4,44","9,76","7,99",BRC0615A,Nome não encontrado
Ferro,mg,"0,44","0,22","0,48","0,39",BRC0615A,Nome não encontrado
Sódio,mg,314,157,346,283,BRC0615A,Nome não encontrado
Magnésio,mg,"12,9","6,46","14,2","11,6",BRC0615A,Nome não encontrado
Fósforo,mg,"66,7","33,4","73,4","60,0",BRC0615A,Nome não encontrado
Potássio,mg,110,"55,4",121,"99,7",BRC0615A,Nome não encontrado
Manganês,mg,"0,21","0,11","0,23","0,19",BRC0615A,Nome não encontrado
Zinco,mg,"0,44","0,22","0,48","0,39",BRC0615A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,08","0,07",BRC0615A,Nome não encontrado
Selênio,mcg,"3,25","1,62","3,57","2,92",BRC0615A,Nome não encontrado
Vitamina A (RE),mcg,"23,1","11,6","25,4","20,8",BRC0615A,Nome não encontrado
Vitamina A (RAE),mcg,"11,6","5,78","12,7","10,4",BRC0615A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0615A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,15","0,33","0,27",BRC0615A,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,11","0,09",BRC0615A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,05","0,04",BRC0615A,Nome não encontrado
Niacina,mg,"2,26","1,13","2,49","2,04",BRC0615A,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,07","0,06",BRC0615A,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01","0,02","0,01",BRC0615A,Nome não encontrado
Vitamina C,mg,"3,45","1,72","3,79","3,10",BRC0615A,Nome não encontrado
Equivalente de folato,mcg,"15,5","7,73","17,0","13,9",BRC0615A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0615A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0615A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0615A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0615A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0615A,Nome não encontrado
