componente,unidade,Valor por 100g,Porção Média (40 g),codigo_alimento,nome_alimento
Energia,kJ,140,55,BRC0638B,Nome não encontrado
Energia,kcal,34,13,BRC0638B,Nome não encontrado
Umidade,g,"89,2","35,7",BRC0638B,Nome não encontrado
Carboidrato total,g,"3,30","1,32",BRC0638B,Nome não encontrado
Carboidrato disponível,g,"1,16","0,46",BRC0638B,Nome não encontrado
Proteína,g,"2,15","0,86",BRC0638B,Nome não encontrado
Lipídios,g,"1,79","0,71",BRC0638B,Nome não encontrado
Fibra alimentar,g,"2,14","0,86",BRC0638B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0638B,Nome não encontrado
Cinzas,g,"1,32","0,53",BRC0638B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0638B,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,11",BRC0638B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,27","0,51",BRC0638B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,09",BRC0638B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0638B,Nome não encontrado
Cálcio,mg,"90,2","36,1",BRC0638B,Nome não encontrado
Ferro,mg,"0,92","0,37",BRC0638B,Nome não encontrado
Sódio,mg,133,"53,4",BRC0638B,Nome não encontrado
Magnésio,mg,"20,7","8,29",BRC0638B,Nome não encontrado
Fósforo,mg,"29,2","11,7",BRC0638B,Nome não encontrado
Potássio,mg,273,109,BRC0638B,Nome não encontrado
Manganês,mg,"0,27","0,11",BRC0638B,Nome não encontrado
Zinco,mg,"0,36","0,14",BRC0638B,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0638B,Nome não encontrado
Selênio,mcg,"0,22","0,09",BRC0638B,Nome não encontrado
Vitamina A (RE),mcg,470,188,BRC0638B,Nome não encontrado
Vitamina A (RAE),mcg,235,"94,1",BRC0638B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0638B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,16",BRC0638B,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0638B,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0638B,Nome não encontrado
Niacina,mg,"0,36","0,14",BRC0638B,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0638B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0638B,Nome não encontrado
Vitamina C,mg,"48,0","19,2",BRC0638B,Nome não encontrado
Equivalente de folato,mcg,"64,4","25,8",BRC0638B,Nome não encontrado
Sal de adição,g,"0,32","0,13",BRC0638B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0638B,Nome não encontrado
Gordura de adição,g,-,-,BRC0638B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0638B,Nome não encontrado
Proteína animal,g,-,-,BRC0638B,Nome não encontrado
