componente,unidade,Valor por 100g,Colher servir cheia (80 g),codigo_alimento,nome_alimento
Energia,kJ,387,309,BRC0683B,Nome não encontrado
Energia,kcal,93,74,BRC0683B,Nome não encontrado
Umidade,g,"81,0","64,8",BRC0683B,Nome não encontrado
Carboidrato total,g,"4,80","3,84",BRC0683B,Nome não encontrado
Carboidrato disponível,g,"2,61","2,08",BRC0683B,Nome não encontrado
Proteína,g,"6,82","5,46",BRC0683B,Nome não encontrado
Lipídios,g,"5,64","4,51",BRC0683B,Nome não encontrado
Fibra alimentar,g,"2,20","1,76",BRC0683B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0683B,Nome não encontrado
Cinzas,g,"1,70","1,36",BRC0683B,Nome não encontrado
Colesterol,mg,"17,6","14,1",BRC0683B,Nome não encontrado
Ácidos graxos saturados,g,"2,52","2,02",BRC0683B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,42","1,14",BRC0683B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","0,67",BRC0683B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10",BRC0683B,Nome não encontrado
Cálcio,mg,128,102,BRC0683B,Nome não encontrado
Ferro,mg,"0,39","0,31",BRC0683B,Nome não encontrado
Sódio,mg,337,269,BRC0683B,Nome não encontrado
Magnésio,mg,"19,2","15,4",BRC0683B,Nome não encontrado
Fósforo,mg,135,108,BRC0683B,Nome não encontrado
Potássio,mg,247,197,BRC0683B,Nome não encontrado
Manganês,mg,"0,12","0,10",BRC0683B,Nome não encontrado
Zinco,mg,"0,94","0,75",BRC0683B,Nome não encontrado
Cobre,mg,"0,09","0,07",BRC0683B,Nome não encontrado
Selênio,mcg,"1,21","0,97",BRC0683B,Nome não encontrado
Vitamina A (RE),mcg,"41,4","33,1",BRC0683B,Nome não encontrado
Vitamina A (RAE),mcg,"20,7","16,6",BRC0683B,Nome não encontrado
Vitamina D,mcg,"0,08","0,06",BRC0683B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,33",BRC0683B,Nome não encontrado
Tiamina,mg,"0,13","0,11",BRC0683B,Nome não encontrado
Riboflavina,mg,"0,07","0,06",BRC0683B,Nome não encontrado
Niacina,mg,"0,58","0,47",BRC0683B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0683B,Nome não encontrado
Vitamina B12,mcg,"0,42","0,33",BRC0683B,Nome não encontrado
Vitamina C,mg,"6,07","4,85",BRC0683B,Nome não encontrado
Equivalente de folato,mcg,"12,9","10,3",BRC0683B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0683B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0683B,Nome não encontrado
Gordura de adição,g,-,-,BRC0683B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0683B,Nome não encontrado
Proteína animal,g,-,-,BRC0683B,Nome não encontrado
