componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (90 g),codigo_alimento,nome_alimento
Energia,kJ,1200,1079,BRC0691A,Nome não encontrado
Energia,kcal,284,255,BRC0691A,Nome não encontrado
Umidade,g,"30,7","27,6",BRC0691A,Nome não encontrado
Carboidrato total,g,"57,1","51,3",BRC0691A,Nome não encontrado
Carboidrato disponível,g,"54,9","49,4",BRC0691A,Nome não encontrado
Proteína,g,"6,84","6,15",BRC0691A,Nome não encontrado
Lipídios,g,"3,60","3,24",BRC0691A,Nome não encontrado
Fibra alimentar,g,"2,17","1,95",BRC0691A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0691A,Nome não encontrado
Cinzas,g,"1,81","1,63",BRC0691A,Nome não encontrado
Colesterol,mg,"10,1","9,05",BRC0691A,Nome não encontrado
Ácidos graxos saturados,g,"1,42","1,27",BRC0691A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,79","0,71",BRC0691A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,90","0,81",BRC0691A,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,07",BRC0691A,Nome não encontrado
Cálcio,mg,"58,2","52,4",BRC0691A,Nome não encontrado
Ferro,mg,"2,96","2,66",BRC0691A,Nome não encontrado
Sódio,mg,394,355,BRC0691A,Nome não encontrado
Magnésio,mg,"27,4","24,7",BRC0691A,Nome não encontrado
Fósforo,mg,"99,5","89,6",BRC0691A,Nome não encontrado
Potássio,mg,245,221,BRC0691A,Nome não encontrado
Manganês,mg,"0,52","0,46",BRC0691A,Nome não encontrado
Zinco,mg,"0,63","0,57",BRC0691A,Nome não encontrado
Cobre,mg,"0,11","0,10",BRC0691A,Nome não encontrado
Selênio,mcg,"5,35","4,81",BRC0691A,Nome não encontrado
Vitamina A (RE),mcg,"28,3","25,4",BRC0691A,Nome não encontrado
Vitamina A (RAE),mcg,"24,8","22,4",BRC0691A,Nome não encontrado
Vitamina D,mcg,"0,06","0,05",BRC0691A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,46","0,42",BRC0691A,Nome não encontrado
Tiamina,mg,"0,13","0,11",BRC0691A,Nome não encontrado
Riboflavina,mg,"0,08","0,07",BRC0691A,Nome não encontrado
Niacina,mg,"0,65","0,59",BRC0691A,Nome não encontrado
Vitamina B6,mg,"0,09","0,08",BRC0691A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,10",BRC0691A,Nome não encontrado
Vitamina C,mg,"2,91","2,62",BRC0691A,Nome não encontrado
Equivalente de folato,mcg,"98,2","88,4",BRC0691A,Nome não encontrado
Sal de adição,g,,,BRC0691A,Nome não encontrado
Açúcar de adição,g,,,BRC0691A,Nome não encontrado
Gordura de adição,g,-,-,BRC0691A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0691A,Nome não encontrado
Proteína animal,g,-,-,BRC0691A,Nome não encontrado
