componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (90 g),codigo_alimento,nome_alimento
Energia,kJ,303,272,BRC0694B,Nome não encontrado
Energia,kcal,72,64,BRC0694B,Nome não encontrado
Umidade,g,"82,3","74,1",BRC0694B,Nome não encontrado
Carboidrato total,g,"4,51","4,06",BRC0694B,Nome não encontrado
Carboidrato disponível,g,"2,15","1,93",BRC0694B,Nome não encontrado
Proteína,g,"9,35","8,41",BRC0694B,Nome não encontrado
Lipídios,g,"2,39","2,15",BRC0694B,Nome não encontrado
Fibra alimentar,g,"2,37","2,13",BRC0694B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0694B,Nome não encontrado
Cinzas,g,"1,16","1,04",BRC0694B,Nome não encontrado
Colesterol,mg,"17,6","15,8",BRC0694B,Nome não encontrado
Ácidos graxos saturados,g,"0,56","0,50",BRC0694B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,72","0,65",BRC0694B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,87","0,78",BRC0694B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0694B,Nome não encontrado
Cálcio,mg,"14,1","12,7",BRC0694B,Nome não encontrado
Ferro,mg,"0,40","0,36",BRC0694B,Nome não encontrado
Sódio,mg,159,143,BRC0694B,Nome não encontrado
Magnésio,mg,"25,9","23,3",BRC0694B,Nome não encontrado
Fósforo,mg,108,"97,3",BRC0694B,Nome não encontrado
Potássio,mg,292,262,BRC0694B,Nome não encontrado
Manganês,mg,"0,10","0,09",BRC0694B,Nome não encontrado
Zinco,mg,"0,39","0,35",BRC0694B,Nome não encontrado
Cobre,mg,"0,07","0,06",BRC0694B,Nome não encontrado
Selênio,mcg,"3,63","3,27",BRC0694B,Nome não encontrado
Vitamina A (RE),mcg,"26,5","23,9",BRC0694B,Nome não encontrado
Vitamina A (RAE),mcg,"13,5","12,2",BRC0694B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0694B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,57","0,51",BRC0694B,Nome não encontrado
Tiamina,mg,"0,07","0,06",BRC0694B,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0694B,Nome não encontrado
Niacina,mg,"1,85","1,66",BRC0694B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0694B,Nome não encontrado
Vitamina B12,mcg,"0,06","0,05",BRC0694B,Nome não encontrado
Vitamina C,mg,"3,42","3,08",BRC0694B,Nome não encontrado
Equivalente de folato,mcg,"13,6","12,3",BRC0694B,Nome não encontrado
Sal de adição,g,"0,47","0,42",BRC0694B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0694B,Nome não encontrado
Gordura de adição,g,-,-,BRC0694B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0694B,Nome não encontrado
Proteína animal,g,-,-,BRC0694B,Nome não encontrado
