componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,609,609,BRC0701N,Nome não encontrado
Energia,kcal,145,144,BRC0701N,Nome não encontrado
Umidade,g,"66,2","66,2",BRC0701N,Nome não encontrado
Carboidrato total,g,"24,3","24,3",BRC0701N,Nome não encontrado
Carboidrato disponível,g,"22,3","22,3",BRC0701N,Nome não encontrado
Proteína,g,"3,17","3,17",BRC0701N,Nome não encontrado
Lipídios,g,"4,35","4,35",BRC0701N,Nome não encontrado
Fibra alimentar,g,"2,02","2,02",BRC0701N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0701N,Nome não encontrado
Cinzas,g,"2,00","2,00",BRC0701N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0701N,Nome não encontrado
Ácidos graxos saturados,g,"0,67","0,67",BRC0701N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,97","0,97",BRC0701N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,51","2,51",BRC0701N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0701N,Nome não encontrado
Cálcio,mg,"6,03","6,03",BRC0701N,Nome não encontrado
Ferro,mg,"0,91","0,91",BRC0701N,Nome não encontrado
Sódio,mg,546,546,BRC0701N,Nome não encontrado
Magnésio,mg,"5,90","5,90",BRC0701N,Nome não encontrado
Fósforo,mg,"38,0","38,0",BRC0701N,Nome não encontrado
Potássio,mg,"32,0","32,0",BRC0701N,Nome não encontrado
Manganês,mg,"0,18","0,18",BRC0701N,Nome não encontrado
Zinco,mg,"0,03","0,03",BRC0701N,Nome não encontrado
Cobre,mg,,,BRC0701N,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0701N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0701N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0701N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0701N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,09",BRC0701N,Nome não encontrado
Tiamina,mg,"0,36","0,36",BRC0701N,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0701N,Nome não encontrado
Niacina,mg,"3,03","3,03",BRC0701N,Nome não encontrado
Vitamina B6,mg,"0,17","0,17",BRC0701N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0701N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0701N,Nome não encontrado
Equivalente de folato,mcg,"27,1","27,1",BRC0701N,Nome não encontrado
Sal de adição,g,,,BRC0701N,Nome não encontrado
Açúcar de adição,g,,,BRC0701N,Nome não encontrado
Gordura de adição,g,-,-,BRC0701N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0701N,Nome não encontrado
Proteína animal,g,-,-,BRC0701N,Nome não encontrado
