componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher café rasa (1 g),Colher chá cheia (5 g),Colher chá rasa (3 g),Colher sobremesa cheia (16 g),Colher sobremesa rasa (9 g),Colher sopa cheia (24 g),Colher sopa rasa (15 g),Xícara chá (170 g),codigo_alimento,nome_alimento
Energia,kJ,842,16,8,42,25,134,75,202,126,1430,BRC0703N,Nome não encontrado
Energia,kcal,198,3,1,9,5,31,17,47,29,336,BRC0703N,Nome não encontrado
Umidade,g,"0,80","0,02","0,01","0,04","0,02","0,13","0,07","0,19","0,12","1,36",BRC0703N,Nome não encontrado
Carboidrato total,g,"49,4","0,99","0,49","2,47","1,48","7,91","4,45","11,9","7,42","84,0",BRC0703N,Nome não encontrado
Carboidrato disponível,g,"49,4","0,99","0,49","2,47","1,48","7,91","4,45","11,9","7,42","84,0",BRC0703N,Nome não encontrado
Proteína,g,"0,08","0,00","0,00","0,00","0,00","0,01","0,01","0,02","0,01","0,14",BRC0703N,Nome não encontrado
Lipídios,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0703N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Cinzas,g,"0,25","0,01","0,00","0,01","0,01","0,04","0,02","0,06","0,04","0,43",BRC0703N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0703N,Nome não encontrado
Cálcio,mg,"23,0","0,46","0,23","1,15","0,69","3,68","2,07","5,52","3,45","39,1",BRC0703N,Nome não encontrado
