componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher café rasa (1 g),Colher chá cheia (5 g),Colher chá rasa (3 g),Colher sobremesa cheia (16 g),Colher sobremesa rasa (9 g),Colher sopa cheia (24 g),Colher sopa rasa (15 g),Copo americano duplo (219 g),Copo americano pequeno (160 g),Xícara chá (170 g),codigo_alimento,nome_alimento
Energia,kJ,338,6,3,16,10,54,30,81,50,740,540,574,BRC0704N,Nome não encontrado
Energia,kcal,80,1,0,3,2,12,7,19,11,174,127,135,BRC0704N,Nome não encontrado
Umidade,g,"0,60","0,01","0,01","0,03","0,02","0,10","0,05","0,14","0,09","1,31","0,96","1,02",BRC0704N,Nome não encontrado
Carboidrato total,g,"19,9","0,40","0,20","0,99","0,60","3,18","1,79","4,76","2,98","43,5","31,8","33,8",BRC0704N,Nome não encontrado
Carboidrato disponível,g,"19,9","0,40","0,20","0,99","0,60","3,18","1,79","4,76","2,98","43,5","31,8","33,8",BRC0704N,Nome não encontrado
Proteína,g,"0,03","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,07","0,05","0,05",BRC0704N,Nome não encontrado
Lipídios,g,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0704N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Cinzas,g,"0,10","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,02","0,22","0,16","0,17",BRC0704N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Cálcio,mg,"9,20","0,18","0,09","0,46","0,28","1,47","0,83","2,21","1,38","20,1","14,7","15,6",BRC0704N,Nome não encontrado
Ferro,mg,"0,43","0,01","0,00","0,02","0,01","0,07","0,04","0,10","0,06","0,94","0,69","0,73",BRC0704N,Nome não encontrado
Sódio,mg,"2,44","0,05","0,02","0,12","0,07","0,39","0,22","0,59","0,37","5,34","3,90","4,15",BRC0704N,Nome não encontrado
Magnésio,mg,"5,44","0,11","0,05","0,27","0,16","0,87","0,49","1,31","0,82","11,9","8,70","9,25",BRC0704N,Nome não encontrado
Fósforo,mg,"2,54","0,05","0,03","0,13","0,08","0,41","0,23","0,61","0,38","5,56","4,06","4,32",BRC0704N,Nome não encontrado
Potássio,mg,"55,2","1,10","0,55","2,76","1,66","8,83","4,97","13,2","8,28",120,"88,3","93,8",BRC0704N,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0704N,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0704N,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,traços,BRC0704N,Nome não encontrado
Selênio,mcg,"0,12","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02","0,26","0,19","0,20",BRC0704N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Sal de adição,g,"20,0","0,40","0,20","1,00","0,60","3,20","1,80","4,80","3,00","43,8","32,0","34,0",BRC0704N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
Proteína vegetal,g,"0,03","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,07","0,05","0,05",BRC0704N,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0704N,Nome não encontrado
