componente,unidade,Valor por 100g,Colher sopa rasa (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,277,55,359,BRC0741B,Nome não encontrado
Energia,kcal,65,13,85,BRC0741B,Nome não encontrado
Umidade,g,"84,0","16,8",109,BRC0741B,Nome não encontrado
Carboidrato total,g,"13,6","2,73","17,7",BRC0741B,Nome não encontrado
Carboidrato disponível,g,"12,6","2,53","16,4",BRC0741B,Nome não encontrado
Proteína,g,"1,18","0,24","1,53",BRC0741B,Nome não encontrado
Lipídios,g,"0,91","0,18","1,19",BRC0741B,Nome não encontrado
Fibra alimentar,g,"1,00","0,20","1,30",BRC0741B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0741B,Nome não encontrado
Cinzas,g,"0,31","0,06","0,41",BRC0741B,Nome não encontrado
Colesterol,mg,"1,91","0,38","2,49",BRC0741B,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,03","0,22",BRC0741B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,05","0,29",BRC0741B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,49","0,10","0,63",BRC0741B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0741B,Nome não encontrado
Cálcio,mg,"13,5","2,70","17,6",BRC0741B,Nome não encontrado
Ferro,mg,"0,13","0,03","0,17",BRC0741B,Nome não encontrado
Sódio,mg,"1,77","0,35","2,30",BRC0741B,Nome não encontrado
Magnésio,mg,"13,1","2,62","17,0",BRC0741B,Nome não encontrado
Fósforo,mg,"19,8","3,96","25,7",BRC0741B,Nome não encontrado
Potássio,mg,"81,4","16,3",105,BRC0741B,Nome não encontrado
Manganês,mg,"0,07","0,01","0,09",BRC0741B,Nome não encontrado
Zinco,mg,"0,14","0,03","0,18",BRC0741B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,03",BRC0741B,Nome não encontrado
Selênio,mcg,"0,52","0,10","0,68",BRC0741B,Nome não encontrado
Vitamina A (RE),mcg,"52,1","10,4","67,7",BRC0741B,Nome não encontrado
Vitamina A (RAE),mcg,"26,6","5,32","34,6",BRC0741B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0741B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,04","0,29",BRC0741B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0741B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0741B,Nome não encontrado
Niacina,mg,"0,22","0,04","0,29",BRC0741B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0741B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0741B,Nome não encontrado
Vitamina C,mg,"5,52","1,10","7,18",BRC0741B,Nome não encontrado
Equivalente de folato,mcg,"7,54","1,51","9,80",BRC0741B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0741B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0741B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0741B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0741B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0741B,Nome não encontrado
