componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,217,43,281,BRC0744B,Nome não encontrado
Energia,kcal,52,10,66,BRC0744B,Nome não encontrado
Umidade,g,"87,9","17,6",114,BRC0744B,Nome não encontrado
Carboidrato total,g,"9,01","1,80","11,7",BRC0744B,Nome não encontrado
Carboidrato disponível,g,"8,00","1,60","10,4",BRC0744B,Nome não encontrado
Proteína,g,"1,31","0,26","1,70",BRC0744B,Nome não encontrado
Lipídios,g,"1,36","0,27","1,77",BRC0744B,Nome não encontrado
Fibra alimentar,g,"1,02","0,20","1,32",BRC0744B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0744B,Nome não encontrado
Cinzas,g,"0,46","0,09","0,59",BRC0744B,Nome não encontrado
Colesterol,mg,"1,91","0,38","2,49",BRC0744B,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,05","0,30",BRC0744B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,06","0,42",BRC0744B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,15","0,98",BRC0744B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0744B,Nome não encontrado
Cálcio,mg,"10,8","2,16","14,0",BRC0744B,Nome não encontrado
Ferro,mg,"0,28","0,06","0,36",BRC0744B,Nome não encontrado
Sódio,mg,"2,27","0,45","2,95",BRC0744B,Nome não encontrado
Magnésio,mg,"5,28","1,06","6,86",BRC0744B,Nome não encontrado
Fósforo,mg,"23,7","4,74","30,8",BRC0744B,Nome não encontrado
Potássio,mg,148,"29,8",193,BRC0744B,Nome não encontrado
Manganês,mg,"0,13","0,03","0,17",BRC0744B,Nome não encontrado
Zinco,mg,"0,22","0,04","0,29",BRC0744B,Nome não encontrado
Cobre,mg,"0,08","0,02","0,11",BRC0744B,Nome não encontrado
Selênio,mcg,"0,46","0,09","0,59",BRC0744B,Nome não encontrado
Vitamina A (RE),mcg,"52,1","10,4","67,7",BRC0744B,Nome não encontrado
Vitamina A (RAE),mcg,"26,6","5,32","34,6",BRC0744B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0744B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,26","0,05","0,34",BRC0744B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0744B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0744B,Nome não encontrado
Niacina,mg,"1,01","0,20","1,32",BRC0744B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0744B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0744B,Nome não encontrado
Vitamina C,mg,"7,92","1,58","10,3",BRC0744B,Nome não encontrado
Equivalente de folato,mcg,"6,22","1,24","8,08",BRC0744B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0744B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0744B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0744B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0744B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0744B,Nome não encontrado
