componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1004,251,60,BRC0775F,Nome não encontrado
Energia,kcal,241,60,14,BRC0775F,Nome não encontrado
Umidade,g,"59,7","14,9","3,58",BRC0775F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0775F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0775F,Nome não encontrado
Proteína,g,"20,8","5,21","1,25",BRC0775F,Nome não encontrado
Lipídios,g,"17,6","4,39","1,05",BRC0775F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0775F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0775F,Nome não encontrado
Cinzas,g,"1,85","0,46","0,11",BRC0775F,Nome não encontrado
Colesterol,mg,150,"37,6","9,02",BRC0775F,Nome não encontrado
Ácidos graxos saturados,g,"4,63","1,16","0,28",BRC0775F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,95","1,49","0,36",BRC0775F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,21","0,80","0,19",BRC0775F,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,02","0,01",BRC0775F,Nome não encontrado
Cálcio,mg,"7,11","1,78","0,43",BRC0775F,Nome não encontrado
Ferro,mg,"6,19","1,55","0,37",BRC0775F,Nome não encontrado
Sódio,mg,270,"67,6","16,2",BRC0775F,Nome não encontrado
Magnésio,mg,"25,2","6,31","1,51",BRC0775F,Nome não encontrado
Fósforo,mg,215,"53,8","12,9",BRC0775F,Nome não encontrado
Potássio,mg,210,"52,5","12,6",BRC0775F,Nome não encontrado
Manganês,mg,"0,08","0,02","0,00",BRC0775F,Nome não encontrado
Zinco,mg,"2,93","0,73","0,18",BRC0775F,Nome não encontrado
Cobre,mg,"0,25","0,06","0,02",BRC0775F,Nome não encontrado
Selênio,mcg,"8,01","2,00","0,48",BRC0775F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0775F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0775F,Nome não encontrado
Vitamina D,mcg,,,,BRC0775F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0775F,Nome não encontrado
Tiamina,mg,"0,25","0,06","0,02",BRC0775F,Nome não encontrado
Riboflavina,mg,"0,45","0,11","0,03",BRC0775F,Nome não encontrado
Niacina,mg,"2,69","0,67","0,16",BRC0775F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0775F,Nome não encontrado
Vitamina B12,mcg,"8,14","2,04","0,49",BRC0775F,Nome não encontrado
Vitamina C,mg,"4,17","1,04","0,25",BRC0775F,Nome não encontrado
Equivalente de folato,mcg,"87,1","21,8","5,23",BRC0775F,Nome não encontrado
Sal de adição,g,"0,45","0,11","0,03",BRC0775F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0775F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0775F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0775F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0775F,Nome não encontrado
