componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,39,9,BRC0777B,Nome não encontrado
Energia,kcal,9,2,BRC0777B,Nome não encontrado
Umidade,g,"97,7","24,4",BRC0777B,Nome não encontrado
Carboidrato total,g,"0,88","0,22",BRC0777B,Nome não encontrado
Carboidrato disponível,g,"0,88","0,22",BRC0777B,Nome não encontrado
Proteína,g,"0,94","0,24",BRC0777B,Nome não encontrado
Lipídios,g,"0,21","0,05",BRC0777B,Nome não encontrado
Fibra alimentar,g,,,BRC0777B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0777B,Nome não encontrado
Cinzas,g,"0,24","0,06",BRC0777B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0777B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0777B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0777B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0777B,Nome não encontrado
Ácidos graxos trans,g,,,BRC0777B,Nome não encontrado
Cálcio,mg,303,"75,9",BRC0777B,Nome não encontrado
Ferro,mg,"3,71","0,93",BRC0777B,Nome não encontrado
Sódio,mg,"12,3","3,08",BRC0777B,Nome não encontrado
Magnésio,mg,452,113,BRC0777B,Nome não encontrado
Fósforo,mg,110,"27,5",BRC0777B,Nome não encontrado
Potássio,mg,196,"49,2",BRC0777B,Nome não encontrado
Manganês,mg,"3,96","0,99",BRC0777B,Nome não encontrado
Zinco,mg,"2,19","0,55",BRC0777B,Nome não encontrado
Cobre,mg,"0,37","0,09",BRC0777B,Nome não encontrado
Selênio,mcg,,,BRC0777B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0777B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0777B,Nome não encontrado
Vitamina D,mcg,,,BRC0777B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0777B,Nome não encontrado
Tiamina,mg,,,BRC0777B,Nome não encontrado
Riboflavina,mg,,,BRC0777B,Nome não encontrado
Niacina,mg,,,BRC0777B,Nome não encontrado
Vitamina B6,mg,,,BRC0777B,Nome não encontrado
Vitamina B12,mcg,,,BRC0777B,Nome não encontrado
Vitamina C,mg,"23,9","5,98",BRC0777B,Nome não encontrado
Equivalente de folato,mcg,,,BRC0777B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0777B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0777B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0777B,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0777B,Nome não encontrado
Proteína animal,g,"0,94","0,24",BRC0777B,Nome não encontrado
