componente,unidade,Valor por 100g,Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,1189,297,BRC0781B,Nome não encontrado
Energia,kcal,283,70,BRC0781B,Nome não encontrado
Umidade,g,"38,2","9,54",BRC0781B,Nome não encontrado
Carboidrato total,g,"41,6","10,4",BRC0781B,Nome não encontrado
Carboidrato disponível,g,"38,2","9,56",BRC0781B,Nome não encontrado
Proteína,g,"10,1","2,53",BRC0781B,Nome não encontrado
Lipídios,g,"9,15","2,29",BRC0781B,Nome não encontrado
Fibra alimentar,g,"3,36","0,84",BRC0781B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0781B,Nome não encontrado
Cinzas,g,"0,99","0,25",BRC0781B,Nome não encontrado
Colesterol,mg,"16,8","4,21",BRC0781B,Nome não encontrado
Ácidos graxos saturados,g,"2,03","0,51",BRC0781B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,78","0,69",BRC0781B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,86","0,97",BRC0781B,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,02",BRC0781B,Nome não encontrado
Cálcio,mg,"41,9","10,5",BRC0781B,Nome não encontrado
Ferro,mg,"1,59","0,40",BRC0781B,Nome não encontrado
Sódio,mg,110,"27,7",BRC0781B,Nome não encontrado
Magnésio,mg,"24,2","6,05",BRC0781B,Nome não encontrado
Fósforo,mg,"77,8","19,5",BRC0781B,Nome não encontrado
Potássio,mg,271,"68,0",BRC0781B,Nome não encontrado
Manganês,mg,"0,21","0,05",BRC0781B,Nome não encontrado
Zinco,mg,"2,15","0,54",BRC0781B,Nome não encontrado
Cobre,mg,"0,07","0,02",BRC0781B,Nome não encontrado
Selênio,mcg,"0,75","0,19",BRC0781B,Nome não encontrado
Vitamina A (RE),mcg,"6,29","1,57",BRC0781B,Nome não encontrado
Vitamina A (RAE),mcg,"5,83","1,46",BRC0781B,Nome não encontrado
Vitamina D,mcg,"0,09","0,02",BRC0781B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,83","0,21",BRC0781B,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0781B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0781B,Nome não encontrado
Niacina,mg,"0,65","0,16",BRC0781B,Nome não encontrado
Vitamina B6,mg,"0,39","0,10",BRC0781B,Nome não encontrado
Vitamina B12,mcg,"0,41","0,10",BRC0781B,Nome não encontrado
Vitamina C,mg,"3,07","0,77",BRC0781B,Nome não encontrado
Equivalente de folato,mcg,"22,5","5,62",BRC0781B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0781B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0781B,Nome não encontrado
Gordura de adição,g,-,-,BRC0781B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0781B,Nome não encontrado
Proteína animal,g,-,-,BRC0781B,Nome não encontrado
