componente,unidade,Valor por 100g,Colher servir rasa (12 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,1555,186,311,BRC0792A,Nome não encontrado
Energia,kcal,366,43,73,BRC0792A,Nome não encontrado
Umidade,g,"8,71","1,04","1,74",BRC0792A,Nome não encontrado
Carboidrato total,g,"82,2","9,87","16,4",BRC0792A,Nome não encontrado
Carboidrato disponível,g,"81,2","9,74","16,2",BRC0792A,Nome não encontrado
Proteína,g,"7,43","0,89","1,49",BRC0792A,Nome não encontrado
Lipídios,g,"1,09","0,13","0,22",BRC0792A,Nome não encontrado
Fibra alimentar,g,"1,06","0,13","0,21",BRC0792A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Cinzas,g,"0,53","0,06","0,11",BRC0792A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Ácidos graxos saturados,g,"0,36","0,04","0,07",BRC0792A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,27","0,03","0,05",BRC0792A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,36","0,04","0,07",BRC0792A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0792A,Nome não encontrado
Cálcio,mg,"6,98","0,84","1,40",BRC0792A,Nome não encontrado
Ferro,mg,"0,62","0,07","0,12",BRC0792A,Nome não encontrado
Sódio,mg,"1,02","0,12","0,20",BRC0792A,Nome não encontrado
Magnésio,mg,"49,8","5,97","9,95",BRC0792A,Nome não encontrado
Fósforo,mg,150,"18,1","30,2",BRC0792A,Nome não encontrado
Potássio,mg,112,"13,6","22,6",BRC0792A,Nome não encontrado
Manganês,mg,"1,22","0,15","0,24",BRC0792A,Nome não encontrado
Zinco,mg,"1,84","0,22","0,37",BRC0792A,Nome não encontrado
Cobre,mg,"0,04","0,00","0,01",BRC0792A,Nome não encontrado
Selênio,mcg,"19,4","2,33","3,88",BRC0792A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,03","0,05",BRC0792A,Nome não encontrado
Tiamina,mg,"0,21","0,03","0,04",BRC0792A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0792A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0792A,Nome não encontrado
Vitamina B6,mg,"0,05","0,01","0,01",BRC0792A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0792A,Nome não encontrado
Equivalente de folato,mcg,"29,6","3,55","5,92",BRC0792A,Nome não encontrado
Sal de adição,g,,,,BRC0792A,Nome não encontrado
Açúcar de adição,g,,,,BRC0792A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
Proteína vegetal,g,"7,43","0,89","1,49",BRC0792A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0792A,Nome não encontrado
