componente,unidade,Valor por 100g,Colher sopa rasa (12 g),Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,1574,188,314,BRC0793A,Nome não encontrado
Energia,kcal,371,44,74,BRC0793A,Nome não encontrado
Umidade,g,"5,65","0,68","1,13",BRC0793A,Nome não encontrado
Carboidrato total,g,"86,1","10,3","17,2",BRC0793A,Nome não encontrado
Carboidrato disponível,g,"82,4","9,89","16,5",BRC0793A,Nome não encontrado
Proteína,g,"4,82","0,58","0,96",BRC0793A,Nome não encontrado
Lipídios,g,"1,64","0,20","0,33",BRC0793A,Nome não encontrado
Fibra alimentar,g,"3,72","0,45","0,74",BRC0793A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0793A,Nome não encontrado
Cinzas,g,"1,74","0,21","0,35",BRC0793A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0793A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,04","0,06",BRC0793A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,06","0,10",BRC0793A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,10","0,16",BRC0793A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0793A,Nome não encontrado
Cálcio,mg,323,"38,8","64,6",BRC0793A,Nome não encontrado
Ferro,mg,"4,26","0,51","0,85",BRC0793A,Nome não encontrado
Sódio,mg,593,"71,3",118,BRC0793A,Nome não encontrado
Magnésio,mg,"30,1","3,61","6,01",BRC0793A,Nome não encontrado
Fósforo,mg,303,"36,4","60,7",BRC0793A,Nome não encontrado
Potássio,mg,165,"19,9","33,1",BRC0793A,Nome não encontrado
Manganês,mg,"0,20","0,02","0,04",BRC0793A,Nome não encontrado
Zinco,mg,"0,78","0,09","0,16",BRC0793A,Nome não encontrado
Cobre,mg,"0,04","0,01","0,01",BRC0793A,Nome não encontrado
Selênio,mcg,"4,01","0,48","0,80",BRC0793A,Nome não encontrado
Vitamina A (RE),mcg,"25,3","3,03","5,05",BRC0793A,Nome não encontrado
Vitamina A (RAE),mcg,"12,6","1,52","2,53",BRC0793A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0793A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,02","0,04",BRC0793A,Nome não encontrado
Tiamina,mg,"0,74","0,09","0,15",BRC0793A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0793A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0793A,Nome não encontrado
Vitamina B6,mg,"2,05","0,25","0,41",BRC0793A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0793A,Nome não encontrado
Vitamina C,mg,"96,3","11,6","19,3",BRC0793A,Nome não encontrado
Equivalente de folato,mcg,"50,2","6,03","10,0",BRC0793A,Nome não encontrado
Sal de adição,g,,,,BRC0793A,Nome não encontrado
Açúcar de adição,g,,,,BRC0793A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0793A,Nome não encontrado
Proteína vegetal,g,"4,82","0,58","0,96",BRC0793A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0793A,Nome não encontrado
