componente,unidade,Valor por 100g,Colher servir cheia (100 g),Colher sopa cheia (50 g),Escumadeira cheia (170 g),Porção Média (190 g),codigo_alimento,nome_alimento
Energia,kJ,561,560,280,952,1065,BRC0798A,Nome não encontrado
Energia,kcal,134,134,67,227,254,BRC0798A,Nome não encontrado
Umidade,g,"72,6","72,6","36,3",123,137,BRC0798A,Nome não encontrado
Carboidrato total,g,"13,3","13,3","6,65","22,6","25,3",BRC0798A,Nome não encontrado
Carboidrato disponível,g,"11,8","11,8","5,90","20,1","22,4",BRC0798A,Nome não encontrado
Proteína,g,"5,77","5,77","2,88","9,81","11,0",BRC0798A,Nome não encontrado
Lipídios,g,"6,75","6,75","3,38","11,5","12,8",BRC0798A,Nome não encontrado
Fibra alimentar,g,"1,50","1,50","0,75","2,55","2,85",BRC0798A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0798A,Nome não encontrado
Cinzas,g,"1,60","1,60","0,80","2,72","3,04",BRC0798A,Nome não encontrado
Colesterol,mg,"27,2","27,2","13,6","46,2","51,7",BRC0798A,Nome não encontrado
Ácidos graxos saturados,g,"3,11","3,11","1,55","5,28","5,90",BRC0798A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,84","1,84","0,92","3,12","3,49",BRC0798A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,08","1,08","0,54","1,83","2,04",BRC0798A,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,13","0,06","0,21","0,24",BRC0798A,Nome não encontrado
Cálcio,mg,"99,9","99,9","50,0",169,189,BRC0798A,Nome não encontrado
Ferro,mg,"1,03","1,03","0,52","1,76","1,96",BRC0798A,Nome não encontrado
Sódio,mg,255,255,127,433,484,BRC0798A,Nome não encontrado
Magnésio,mg,"9,50","9,50","4,75","16,1","18,0",BRC0798A,Nome não encontrado
Fósforo,mg,104,104,"52,3",177,198,BRC0798A,Nome não encontrado
Potássio,mg,153,153,"76,6",260,291,BRC0798A,Nome não encontrado
Manganês,mg,"0,15","0,15","0,07","0,25","0,28",BRC0798A,Nome não encontrado
Zinco,mg,"1,59","1,59","0,80","2,70","3,02",BRC0798A,Nome não encontrado
Cobre,mg,"0,05","0,05","0,03","0,09","0,10",BRC0798A,Nome não encontrado
Selênio,mcg,"4,37","4,37","2,19","7,43","8,30",BRC0798A,Nome não encontrado
Vitamina A (RE),mcg,"43,8","43,8","21,9","74,5","83,3",BRC0798A,Nome não encontrado
Vitamina A (RAE),mcg,"36,3","36,3","18,2","61,7","69,0",BRC0798A,Nome não encontrado
Vitamina D,mcg,"0,08","0,08","0,04","0,14","0,15",BRC0798A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,10","1,10","0,55","1,88","2,10",BRC0798A,Nome não encontrado
Tiamina,mg,"0,04","0,04","0,02","0,07","0,07",BRC0798A,Nome não encontrado
Riboflavina,mg,"0,10","0,10","0,05","0,17","0,19",BRC0798A,Nome não encontrado
Niacina,mg,"1,82","1,82","0,91","3,10","3,46",BRC0798A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,02","0,02",BRC0798A,Nome não encontrado
Vitamina B12,mcg,"0,77","0,77","0,38","1,31","1,46",BRC0798A,Nome não encontrado
Vitamina C,mg,"0,47","0,47","0,23","0,79","0,89",BRC0798A,Nome não encontrado
Equivalente de folato,mcg,"6,58","6,58","3,29","11,2","12,5",BRC0798A,Nome não encontrado
Sal de adição,g,,,traços,,,BRC0798A,Nome não encontrado
Açúcar de adição,g,,,traços,,,BRC0798A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0798A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0798A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0798A,Nome não encontrado
