componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1487,59,14,BRC0800B,Nome não encontrado
Energia,kcal,352,14,3,BRC0800B,Nome não encontrado
Umidade,g,"11,9","0,48","0,12",BRC0800B,Nome não encontrado
Carboidrato total,g,"65,4","2,61","0,65",BRC0800B,Nome não encontrado
Carboidrato disponível,g,"61,5","2,46","0,61",BRC0800B,Nome não encontrado
Proteína,g,"11,4","0,46","0,11",BRC0800B,Nome não encontrado
Lipídios,g,"5,85","0,23","0,06",BRC0800B,Nome não encontrado
Fibra alimentar,g,"3,90","0,16","0,04",BRC0800B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Cinzas,g,"5,45","0,22","0,05",BRC0800B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Ácidos graxos saturados,g,"1,59","0,06","0,02",BRC0800B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,02","0,00",BRC0800B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,07","0,08","0,02",BRC0800B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Cálcio,mg,111,"4,44","1,11",BRC0800B,Nome não encontrado
Ferro,mg,"11,1","0,44","0,11",BRC0800B,Nome não encontrado
Sódio,mg,148,"5,92","1,48",BRC0800B,Nome não encontrado
Magnésio,mg,264,"10,6","2,64",BRC0800B,Nome não encontrado
Fósforo,mg,252,"10,1","2,52",BRC0800B,Nome não encontrado
Potássio,mg,1724,"69,0","17,2",BRC0800B,Nome não encontrado
Manganês,mg,"28,4","1,14","0,28",BRC0800B,Nome não encontrado
Zinco,mg,"1,09","0,04","0,01",BRC0800B,Nome não encontrado
Cobre,mg,"0,33","0,01","0,00",BRC0800B,Nome não encontrado
Selênio,mcg,"5,60","0,22","0,06",BRC0800B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0800B,Nome não encontrado
Vitamina A (RAE),mcg,"27,0","1,08","0,27",BRC0800B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Tiamina,mg,"0,12","0,00","0,00",BRC0800B,Nome não encontrado
Riboflavina,mg,"0,27","0,01","0,00",BRC0800B,Nome não encontrado
Niacina,mg,"1,46","0,06","0,01",BRC0800B,Nome não encontrado
Vitamina B6,mg,"1,01","0,04","0,01",BRC0800B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Vitamina C,mg,"80,8","3,23","0,81",BRC0800B,Nome não encontrado
Equivalente de folato,mcg,"93,0","3,72","0,93",BRC0800B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
Proteína vegetal,g,"11,4","0,46","0,11",BRC0800B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0800B,Nome não encontrado
