componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,200,259,BRC0807B,Nome não encontrado
Energia,kcal,47,61,BRC0807B,Nome não encontrado
Umidade,g,"87,2",113,BRC0807B,Nome não encontrado
Carboidrato total,g,"10,6","13,8",BRC0807B,Nome não encontrado
Carboidrato disponível,g,"9,56","12,4",BRC0807B,Nome não encontrado
Proteína,g,"1,12","1,45",BRC0807B,Nome não encontrado
Lipídios,g,"0,26","0,34",BRC0807B,Nome não encontrado
Fibra alimentar,g,"1,07","1,39",BRC0807B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0807B,Nome não encontrado
Cinzas,g,"0,82","1,06",BRC0807B,Nome não encontrado
Colesterol,mg,"1,84","2,39",BRC0807B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,07",BRC0807B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,11","0,14",BRC0807B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,07",BRC0807B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,02",BRC0807B,Nome não encontrado
Cálcio,mg,"14,9","19,4",BRC0807B,Nome não encontrado
Ferro,mg,"0,31","0,41",BRC0807B,Nome não encontrado
Sódio,mg,217,282,BRC0807B,Nome não encontrado
Magnésio,mg,"7,68","9,99",BRC0807B,Nome não encontrado
Fósforo,mg,"16,6","21,6",BRC0807B,Nome não encontrado
Potássio,mg,101,132,BRC0807B,Nome não encontrado
Manganês,mg,"0,20","0,26",BRC0807B,Nome não encontrado
Zinco,mg,"0,10","0,13",BRC0807B,Nome não encontrado
Cobre,mg,"0,04","0,05",BRC0807B,Nome não encontrado
Selênio,mcg,"1,36","1,77",BRC0807B,Nome não encontrado
Vitamina A (RE),mcg,"66,8","86,8",BRC0807B,Nome não encontrado
Vitamina A (RAE),mcg,"35,7","46,4",BRC0807B,Nome não encontrado
Vitamina D,mcg,"0,16","0,21",BRC0807B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,39",BRC0807B,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0807B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0807B,Nome não encontrado
Niacina,mg,"0,18","0,23",BRC0807B,Nome não encontrado
Vitamina B6,mg,"0,03","0,04",BRC0807B,Nome não encontrado
Vitamina B12,mcg,"0,07","0,09",BRC0807B,Nome não encontrado
Vitamina C,mg,"8,08","10,5",BRC0807B,Nome não encontrado
Equivalente de folato,mcg,"8,65","11,2",BRC0807B,Nome não encontrado
Sal de adição,g,"0,47","0,61",BRC0807B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0807B,Nome não encontrado
Gordura de adição,g,-,-,BRC0807B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0807B,Nome não encontrado
Proteína animal,g,-,-,BRC0807B,Nome não encontrado
