componente,unidade,Valor por 100g,Prato fundo (80 g),codigo_alimento,nome_alimento
Energia,kJ,1016,812,BRC0814A,Nome não encontrado
Energia,kcal,243,194,BRC0814A,Nome não encontrado
Umidade,g,"52,4","41,9",BRC0814A,Nome não encontrado
Carboidrato total,g,"16,6","13,3",BRC0814A,Nome não encontrado
Carboidrato disponível,g,"16,1","12,9",BRC0814A,Nome não encontrado
Proteína,g,"17,1","13,7",BRC0814A,Nome não encontrado
Lipídios,g,"12,1","9,66",BRC0814A,Nome não encontrado
Fibra alimentar,g,"0,51","0,41",BRC0814A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0814A,Nome não encontrado
Cinzas,g,"1,84","1,47",BRC0814A,Nome não encontrado
Colesterol,mg,"90,3","72,3",BRC0814A,Nome não encontrado
Ácidos graxos saturados,g,"3,80","3,04",BRC0814A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,76","3,01",BRC0814A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,94","3,15",BRC0814A,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,11",BRC0814A,Nome não encontrado
Cálcio,mg,"48,3","38,6",BRC0814A,Nome não encontrado
Ferro,mg,"2,34","1,87",BRC0814A,Nome não encontrado
Sódio,mg,373,299,BRC0814A,Nome não encontrado
Magnésio,mg,"19,4","15,6",BRC0814A,Nome não encontrado
Fósforo,mg,169,135,BRC0814A,Nome não encontrado
Potássio,mg,252,202,BRC0814A,Nome não encontrado
Manganês,mg,"0,09","0,07",BRC0814A,Nome não encontrado
Zinco,mg,"4,23","3,38",BRC0814A,Nome não encontrado
Cobre,mg,"0,10","0,08",BRC0814A,Nome não encontrado
Selênio,mcg,"6,98","5,58",BRC0814A,Nome não encontrado
Vitamina A (RE),mcg,"40,4","32,3",BRC0814A,Nome não encontrado
Vitamina A (RAE),mcg,"40,0","32,0",BRC0814A,Nome não encontrado
Vitamina D,mcg,"0,31","0,24",BRC0814A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,80","0,64",BRC0814A,Nome não encontrado
Tiamina,mg,"0,13","0,11",BRC0814A,Nome não encontrado
Riboflavina,mg,"0,27","0,21",BRC0814A,Nome não encontrado
Niacina,mg,"1,95","1,56",BRC0814A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0814A,Nome não encontrado
Vitamina B12,mcg,"1,86","1,49",BRC0814A,Nome não encontrado
Vitamina C,mg,"0,21","0,17",BRC0814A,Nome não encontrado
Equivalente de folato,mcg,"39,5","31,6",BRC0814A,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0814A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0814A,Nome não encontrado
Gordura de adição,g,-,-,BRC0814A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0814A,Nome não encontrado
Proteína animal,g,-,-,BRC0814A,Nome não encontrado
