componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,238,309,BRC0833A,Nome não encontrado
Energia,kcal,56,73,BRC0833A,Nome não encontrado
Umidade,g,"83,9",109,BRC0833A,Nome não encontrado
Carboidrato total,g,"10,6","13,8",BRC0833A,Nome não encontrado
Carboidrato disponível,g,"9,98","13,0",BRC0833A,Nome não encontrado
Proteína,g,"1,22","1,59",BRC0833A,Nome não encontrado
Lipídios,g,"1,15","1,50",BRC0833A,Nome não encontrado
Fibra alimentar,g,"0,63","0,82",BRC0833A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0833A,Nome não encontrado
Cinzas,g,"3,13","4,07",BRC0833A,Nome não encontrado
Colesterol,mg,,,BRC0833A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,39",BRC0833A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,30",BRC0833A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,55","0,72",BRC0833A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0833A,Nome não encontrado
Cálcio,mg,"23,9","31,1",BRC0833A,Nome não encontrado
Ferro,mg,"0,21","0,27",BRC0833A,Nome não encontrado
Sódio,mg,1344,1748,BRC0833A,Nome não encontrado
Magnésio,mg,"10,1","13,1",BRC0833A,Nome não encontrado
Fósforo,mg,"35,3","45,9",BRC0833A,Nome não encontrado
Potássio,mg,120,156,BRC0833A,Nome não encontrado
Manganês,mg,,,BRC0833A,Nome não encontrado
Zinco,mg,"0,19","0,25",BRC0833A,Nome não encontrado
Cobre,mg,,,BRC0833A,Nome não encontrado
Selênio,mcg,,,BRC0833A,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0833A,Nome não encontrado
Vitamina A (RAE),mcg,"3,38","4,39",BRC0833A,Nome não encontrado
Vitamina D,mcg,,,BRC0833A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,57",BRC0833A,Nome não encontrado
Tiamina,mg,"0,05","0,07",BRC0833A,Nome não encontrado
Riboflavina,mg,"0,05","0,07",BRC0833A,Nome não encontrado
Niacina,mg,"0,25","0,33",BRC0833A,Nome não encontrado
Vitamina B6,mg,"0,10","0,13",BRC0833A,Nome não encontrado
Vitamina B12,mcg,,,BRC0833A,Nome não encontrado
Vitamina C,mg,"0,57","0,74",BRC0833A,Nome não encontrado
Equivalente de folato,mcg,,,BRC0833A,Nome não encontrado
Sal de adição,g,,,BRC0833A,Nome não encontrado
Açúcar de adição,g,,,BRC0833A,Nome não encontrado
Gordura de adição,g,,,BRC0833A,Nome não encontrado
Proteína vegetal,g,"1,22","1,59",BRC0833A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0833A,Nome não encontrado
