componente,unidade,Valor por 100g,Concha cheia (130 g),Pedaço/ Unidade/ Fatia (M) (200 g),codigo_alimento,nome_alimento
Energia,kJ,460,598,920,BRC0846A,Nome não encontrado
Energia,kcal,109,141,218,BRC0846A,Nome não encontrado
Umidade,g,"71,6","93,0",143,BRC0846A,Nome não encontrado
Carboidrato total,g,"19,2","24,9","38,4",BRC0846A,Nome não encontrado
Carboidrato disponível,g,"18,3","23,8","36,6",BRC0846A,Nome não encontrado
Proteína,g,"3,54","4,60","7,08",BRC0846A,Nome não encontrado
Lipídios,g,"2,22","2,89","4,44",BRC0846A,Nome não encontrado
Fibra alimentar,g,"0,90","1,17","1,80",BRC0846A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Cinzas,g,"3,50","4,55","7,00",BRC0846A,Nome não encontrado
Colesterol,mg,"0,18","0,24","0,37",BRC0846A,Nome não encontrado
Ácidos graxos saturados,g,"0,56","0,72","1,11",BRC0846A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","1,28","1,98",BRC0846A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,75","1,16",BRC0846A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Cálcio,mg,"39,3","51,0","78,5",BRC0846A,Nome não encontrado
Ferro,mg,"0,76","0,99","1,52",BRC0846A,Nome não encontrado
Sódio,mg,1452,1887,2904,BRC0846A,Nome não encontrado
Magnésio,mg,"14,1","18,3","28,1",BRC0846A,Nome não encontrado
Fósforo,mg,"66,8","86,8",133,BRC0846A,Nome não encontrado
Potássio,mg,119,155,239,BRC0846A,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Zinco,mg,"0,47","0,61","0,94",BRC0846A,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0846A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,29","0,44",BRC0846A,Nome não encontrado
Tiamina,mg,"1,52","1,97","3,03",BRC0846A,Nome não encontrado
Riboflavina,mg,"0,13","0,17","0,26",BRC0846A,Nome não encontrado
Niacina,mg,"0,64","0,84","1,29",BRC0846A,Nome não encontrado
Vitamina B6,mg,"0,06","0,08","0,12",BRC0846A,Nome não encontrado
Vitamina B12,mcg,"0,15","0,19","0,29",BRC0846A,Nome não encontrado
Vitamina C,mg,"4,86","6,32","9,73",BRC0846A,Nome não encontrado
Equivalente de folato,mcg,"8,79","11,4","17,6",BRC0846A,Nome não encontrado
Sal de adição,g,,,,BRC0846A,Nome não encontrado
Açúcar de adição,g,,,,BRC0846A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0846A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0846A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0846A,Nome não encontrado
