componente,unidade,Valor por 100g,Porção Média (380 g),codigo_alimento,nome_alimento
Energia,kJ,510,1938,BRC0850A,Nome não encontrado
Energia,kcal,121,460,BRC0850A,Nome não encontrado
Umidade,g,"70,3",267,BRC0850A,Nome não encontrado
Carboidrato total,g,"20,1","76,4",BRC0850A,Nome não encontrado
Carboidrato disponível,g,"16,6","62,9",BRC0850A,Nome não encontrado
Proteína,g,"6,11","23,2",BRC0850A,Nome não encontrado
Lipídios,g,"2,60","9,90",BRC0850A,Nome não encontrado
Fibra alimentar,g,"3,56","13,5",BRC0850A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0850A,Nome não encontrado
Cinzas,g,"0,84","3,20",BRC0850A,Nome não encontrado
Colesterol,mg,"10,5","40,0",BRC0850A,Nome não encontrado
Ácidos graxos saturados,g,"0,81","3,07",BRC0850A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,83","3,14",BRC0850A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,94","3,56",BRC0850A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,15",BRC0850A,Nome não encontrado
Cálcio,mg,"14,3","54,5",BRC0850A,Nome não encontrado
Ferro,mg,"1,26","4,79",BRC0850A,Nome não encontrado
Sódio,mg,134,511,BRC0850A,Nome não encontrado
Magnésio,mg,"22,3","84,9",BRC0850A,Nome não encontrado
Fósforo,mg,"72,1",274,BRC0850A,Nome não encontrado
Potássio,mg,143,546,BRC0850A,Nome não encontrado
Manganês,mg,"0,37","1,41",BRC0850A,Nome não encontrado
Zinco,mg,"1,37","5,22",BRC0850A,Nome não encontrado
Cobre,mg,"0,26","0,99",BRC0850A,Nome não encontrado
Selênio,mcg,"1,89","7,17",BRC0850A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0850A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0850A,Nome não encontrado
Vitamina D,mcg,"0,02","0,09",BRC0850A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,75",BRC0850A,Nome não encontrado
Tiamina,mg,"0,03","0,13",BRC0850A,Nome não encontrado
Riboflavina,mg,"0,01","0,05",BRC0850A,Nome não encontrado
Niacina,mg,"0,70","2,64",BRC0850A,Nome não encontrado
Vitamina B6,mg,"0,03","0,10",BRC0850A,Nome não encontrado
Vitamina B12,mcg,"0,09","0,35",BRC0850A,Nome não encontrado
Vitamina C,mg,"0,28","1,05",BRC0850A,Nome não encontrado
Equivalente de folato,mcg,"50,9",193,BRC0850A,Nome não encontrado
Sal de adição,g,"1,20","4,56",BRC0850A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0850A,Nome não encontrado
Gordura de adição,g,-,-,BRC0850A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0850A,Nome não encontrado
Proteína animal,g,-,-,BRC0850A,Nome não encontrado
