componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,554,332,221,BRC0865B,Nome não encontrado
Energia,kcal,132,79,52,BRC0865B,Nome não encontrado
Umidade,g,"71,5","42,9","28,6",BRC0865B,Nome não encontrado
Carboidrato total,g,"19,8","11,9","7,92",BRC0865B,Nome não encontrado
Carboidrato disponível,g,"17,9","10,7","7,16",BRC0865B,Nome não encontrado
Proteína,g,"2,42","1,45","0,97",BRC0865B,Nome não encontrado
Lipídios,g,"5,22","3,13","2,09",BRC0865B,Nome não encontrado
Fibra alimentar,g,"1,90","1,14","0,76",BRC0865B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Cinzas,g,"1,04","0,62","0,42",BRC0865B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Ácidos graxos saturados,g,"0,82","0,49","0,33",BRC0865B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,72","2,23","1,49",BRC0865B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,36","0,24",BRC0865B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Cálcio,mg,"14,9","8,92","5,95",BRC0865B,Nome não encontrado
Ferro,mg,"0,74","0,45","0,30",BRC0865B,Nome não encontrado
Sódio,mg,"0,52","0,31","0,21",BRC0865B,Nome não encontrado
Magnésio,mg,"19,4","11,6","7,76",BRC0865B,Nome não encontrado
Fósforo,mg,"51,8","31,1","20,7",BRC0865B,Nome não encontrado
Potássio,mg,524,314,209,BRC0865B,Nome não encontrado
Manganês,mg,"0,17","0,10","0,07",BRC0865B,Nome não encontrado
Zinco,mg,"0,34","0,20","0,14",BRC0865B,Nome não encontrado
Cobre,mg,"0,13","0,08","0,05",BRC0865B,Nome não encontrado
Selênio,mcg,"0,39","0,24","0,16",BRC0865B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Vitamina A (RAE),mcg,"1,22","0,73","0,49",BRC0865B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,71","0,43","0,28",BRC0865B,Nome não encontrado
Tiamina,mg,"0,11","0,06","0,04",BRC0865B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0865B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0865B,Nome não encontrado
Vitamina B6,mg,"0,19","0,11","0,08",BRC0865B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Vitamina C,mg,"33,3","20,0","13,3",BRC0865B,Nome não encontrado
Equivalente de folato,mcg,"17,1","10,2","6,83",BRC0865B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0865B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0865B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0865B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0865B,Nome não encontrado
