componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,1623,324,486,BRC0873A,Nome não encontrado
Energia,kcal,385,76,115,BRC0873A,Nome não encontrado
Umidade,g,"12,6","2,53","3,79",BRC0873A,Nome não encontrado
Carboidrato total,g,"64,6","12,9","19,4",BRC0873A,Nome não encontrado
Carboidrato disponível,g,"63,3","12,7","19,0",BRC0873A,Nome não encontrado
Proteína,g,"10,7","2,13","3,20",BRC0873A,Nome não encontrado
Lipídios,g,"9,60","1,92","2,88",BRC0873A,Nome não encontrado
Fibra alimentar,g,"1,35","0,27","0,40",BRC0873A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0873A,Nome não encontrado
Cinzas,g,"2,49","0,50","0,75",BRC0873A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0873A,Nome não encontrado
Ácidos graxos saturados,g,"1,37","0,27","0,41",BRC0873A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,61","0,72","1,08",BRC0873A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,31","0,26","0,39",BRC0873A,Nome não encontrado
Ácidos graxos trans,g,"0,38","0,08","0,11",BRC0873A,Nome não encontrado
Cálcio,mg,"20,3","4,07","6,10",BRC0873A,Nome não encontrado
Ferro,mg,"1,21","0,24","0,36",BRC0873A,Nome não encontrado
Sódio,mg,885,177,265,BRC0873A,Nome não encontrado
Magnésio,mg,"29,5","5,89","8,84",BRC0873A,Nome não encontrado
Fósforo,mg,111,"22,4","33,6",BRC0873A,Nome não encontrado
Potássio,mg,220,"44,0","66,1",BRC0873A,Nome não encontrado
Manganês,mg,"0,54","0,11","0,16",BRC0873A,Nome não encontrado
Zinco,mg,"0,87","0,17","0,26",BRC0873A,Nome não encontrado
Cobre,mg,"0,16","0,03","0,05",BRC0873A,Nome não encontrado
Selênio,mcg,"0,23","0,05","0,07",BRC0873A,Nome não encontrado
Vitamina A (RE),mcg,"5,58","1,12","1,67",BRC0873A,Nome não encontrado
Vitamina A (RAE),mcg,"2,85","0,57","0,85",BRC0873A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0873A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,15","0,23","0,34",BRC0873A,Nome não encontrado
Tiamina,mg,"0,34","0,07","0,10",BRC0873A,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0873A,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00",BRC0873A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01",BRC0873A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0873A,Nome não encontrado
Vitamina C,mg,"2,31","0,46","0,69",BRC0873A,Nome não encontrado
Equivalente de folato,mcg,106,"21,3","31,9",BRC0873A,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,14",BRC0873A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0873A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0873A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0873A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0873A,Nome não encontrado
