componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,214,278,BRC0878F,Nome não encontrado
Energia,kcal,51,66,BRC0878F,Nome não encontrado
Umidade,g,"90,8",118,BRC0878F,Nome não encontrado
Carboidrato total,g,"1,13","1,47",BRC0878F,Nome não encontrado
Carboidrato disponível,g,"0,86","1,12",BRC0878F,Nome não encontrado
Proteína,g,"4,58","5,95",BRC0878F,Nome não encontrado
Lipídios,g,"3,23","4,20",BRC0878F,Nome não encontrado
Fibra alimentar,g,"0,27","0,35",BRC0878F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0878F,Nome não encontrado
Cinzas,g,"0,25","0,33",BRC0878F,Nome não encontrado
Colesterol,mg,"21,4","27,8",BRC0878F,Nome não encontrado
Ácidos graxos saturados,g,"0,87","1,13",BRC0878F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,60","2,08",BRC0878F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,41",BRC0878F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0878F,Nome não encontrado
Cálcio,mg,"5,48","7,12",BRC0878F,Nome não encontrado
Ferro,mg,"0,28","0,36",BRC0878F,Nome não encontrado
Sódio,mg,"15,6","20,2",BRC0878F,Nome não encontrado
Magnésio,mg,"2,63","3,41",BRC0878F,Nome não encontrado
Fósforo,mg,"21,6","28,1",BRC0878F,Nome não encontrado
Potássio,mg,"37,9","49,3",BRC0878F,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0878F,Nome não encontrado
Zinco,mg,"0,24","0,31",BRC0878F,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0878F,Nome não encontrado
Selênio,mcg,"4,68","6,08",BRC0878F,Nome não encontrado
Vitamina A (RE),mcg,"45,2","58,8",BRC0878F,Nome não encontrado
Vitamina A (RAE),mcg,"22,6","29,4",BRC0878F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0878F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,13",BRC0878F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0878F,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0878F,Nome não encontrado
Niacina,mg,"0,21","0,27",BRC0878F,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0878F,Nome não encontrado
Vitamina B12,mcg,"0,08","0,11",BRC0878F,Nome não encontrado
Vitamina C,mg,"0,55","0,71",BRC0878F,Nome não encontrado
Equivalente de folato,mcg,"3,09","4,02",BRC0878F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0878F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0878F,Nome não encontrado
Gordura de adição,g,-,-,BRC0878F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0878F,Nome não encontrado
Proteína animal,g,-,-,BRC0878F,Nome não encontrado
