componente,unidade,Valor por 100g,Concha cheia (130 g),Pedaço/ Unidade/ Fatia (M) (200 g),codigo_alimento,nome_alimento
Energia,kJ,380,494,760,BRC0880F,Nome não encontrado
Energia,kcal,91,117,181,BRC0880F,Nome não encontrado
Umidade,g,"79,3",103,158,BRC0880F,Nome não encontrado
Carboidrato total,g,"10,8","14,1","21,7",BRC0880F,Nome não encontrado
Carboidrato disponível,g,"8,35","10,8","16,7",BRC0880F,Nome não encontrado
Proteína,g,"6,08","7,90","12,2",BRC0880F,Nome não encontrado
Lipídios,g,"3,11","4,05","6,23",BRC0880F,Nome não encontrado
Fibra alimentar,g,"2,50","3,24","4,99",BRC0880F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0880F,Nome não encontrado
Cinzas,g,"0,66","0,85","1,31",BRC0880F,Nome não encontrado
Colesterol,mg,"11,8","15,3","23,5",BRC0880F,Nome não encontrado
Ácidos graxos saturados,g,"0,70","0,91","1,39",BRC0880F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,17","1,52","2,35",BRC0880F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,95","1,24","1,90",BRC0880F,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0880F,Nome não encontrado
Cálcio,mg,"35,6","46,3","71,2",BRC0880F,Nome não encontrado
Ferro,mg,"1,49","1,93","2,97",BRC0880F,Nome não encontrado
Sódio,mg,202,263,405,BRC0880F,Nome não encontrado
Magnésio,mg,"24,5","31,8","49,0",BRC0880F,Nome não encontrado
Fósforo,mg,"56,0","72,8",112,BRC0880F,Nome não encontrado
Potássio,mg,240,313,481,BRC0880F,Nome não encontrado
Manganês,mg,"0,03","0,04","0,06",BRC0880F,Nome não encontrado
Zinco,mg,"1,08","1,40","2,15",BRC0880F,Nome não encontrado
Cobre,mg,"0,31","0,40","0,61",BRC0880F,Nome não encontrado
Selênio,mcg,"2,60","3,38","5,21",BRC0880F,Nome não encontrado
Vitamina A (RE),mcg,"24,9","32,3","49,7",BRC0880F,Nome não encontrado
Vitamina A (RAE),mcg,"12,4","16,2","24,9",BRC0880F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0880F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,57","0,74","1,14",BRC0880F,Nome não encontrado
Tiamina,mg,"0,05","0,06","0,09",BRC0880F,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,03",BRC0880F,Nome não encontrado
Niacina,mg,"0,19","0,25","0,38",BRC0880F,Nome não encontrado
Vitamina B6,mg,"0,06","0,08","0,12",BRC0880F,Nome não encontrado
Vitamina B12,mcg,"0,05","0,06","0,09",BRC0880F,Nome não encontrado
Vitamina C,mg,"1,89","2,46","3,78",BRC0880F,Nome não encontrado
Equivalente de folato,mcg,"31,0","40,3","62,1",BRC0880F,Nome não encontrado
Sal de adição,g,"0,45","0,59","0,90",BRC0880F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0880F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0880F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0880F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0880F,Nome não encontrado
