componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,778,1555,1010,BRC0881F,Nome não encontrado
Energia,kcal,186,372,242,BRC0881F,Nome não encontrado
Umidade,g,"64,2",128,"83,5",BRC0881F,Nome não encontrado
Carboidrato total,g,"11,1","22,2","14,4",BRC0881F,Nome não encontrado
Carboidrato disponível,g,"8,53","17,1","11,1",BRC0881F,Nome não encontrado
Proteína,g,"13,9","27,8","18,1",BRC0881F,Nome não encontrado
Lipídios,g,"10,2","20,3","13,2",BRC0881F,Nome não encontrado
Fibra alimentar,g,"2,58","5,15","3,35",BRC0881F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0881F,Nome não encontrado
Cinzas,g,"0,64","1,29","0,84",BRC0881F,Nome não encontrado
Colesterol,mg,"87,7",175,114,BRC0881F,Nome não encontrado
Ácidos graxos saturados,g,"3,07","6,13","3,98",BRC0881F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,46","6,93","4,50",BRC0881F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,21","4,41","2,87",BRC0881F,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,20","0,13",BRC0881F,Nome não encontrado
Cálcio,mg,"41,8","83,7","54,4",BRC0881F,Nome não encontrado
Ferro,mg,"1,71","3,42","2,23",BRC0881F,Nome não encontrado
Sódio,mg,178,356,231,BRC0881F,Nome não encontrado
Magnésio,mg,"28,8","57,7","37,5",BRC0881F,Nome não encontrado
Fósforo,mg,"91,9",183,119,BRC0881F,Nome não encontrado
Potássio,mg,311,623,405,BRC0881F,Nome não encontrado
Manganês,mg,"0,05","0,10","0,06",BRC0881F,Nome não encontrado
Zinco,mg,"1,96","3,93","2,55",BRC0881F,Nome não encontrado
Cobre,mg,"0,32","0,65","0,42",BRC0881F,Nome não encontrado
Selênio,mcg,"14,4","28,9","18,8",BRC0881F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0881F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0881F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0881F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","1,29","0,84",BRC0881F,Nome não encontrado
Tiamina,mg,"0,11","0,22","0,14",BRC0881F,Nome não encontrado
Riboflavina,mg,"0,03","0,05","0,04",BRC0881F,Nome não encontrado
Niacina,mg,"1,46","2,93","1,90",BRC0881F,Nome não encontrado
Vitamina B6,mg,"0,05","0,11","0,07",BRC0881F,Nome não encontrado
Vitamina B12,mcg,"0,37","0,73","0,48",BRC0881F,Nome não encontrado
Vitamina C,mg,"8,02","16,0","10,4",BRC0881F,Nome não encontrado
Equivalente de folato,mcg,"33,8","67,6","43,9",BRC0881F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0881F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0881F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0881F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0881F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0881F,Nome não encontrado
