componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (13 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,103,20,13,133,BRC0886A,Nome não encontrado
Energia,kcal,24,4,3,31,BRC0886A,Nome não encontrado
Umidade,g,"93,5","18,7","12,2",121,BRC0886A,Nome não encontrado
Carboidrato total,g,"4,17","0,83","0,54","5,42",BRC0886A,Nome não encontrado
Carboidrato disponível,g,"3,97","0,79","0,52","5,16",BRC0886A,Nome não encontrado
Proteína,g,"1,03","0,21","0,13","1,34",BRC0886A,Nome não encontrado
Lipídios,g,"0,44","0,09","0,06","0,57",BRC0886A,Nome não encontrado
Fibra alimentar,g,"0,20","0,04","0,03","0,26",BRC0886A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0886A,Nome não encontrado
Cinzas,g,"0,62","0,12","0,08","0,81",BRC0886A,Nome não encontrado
Colesterol,mg,"5,00","1,00","0,65","6,50",BRC0886A,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,03","0,02","0,17",BRC0886A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,03","0,02","0,20",BRC0886A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,02","0,01","0,12",BRC0886A,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0886A,Nome não encontrado
Cálcio,mg,"6,00","1,20","0,78","7,80",BRC0886A,Nome não encontrado
Ferro,mg,"0,16","0,03","0,02","0,21",BRC0886A,Nome não encontrado
Sódio,mg,248,"49,6","32,2",322,BRC0886A,Nome não encontrado
Magnésio,mg,"3,00","0,60","0,39","3,90",BRC0886A,Nome não encontrado
Fósforo,mg,"13,0","2,60","1,69","16,9",BRC0886A,Nome não encontrado
Potássio,mg,"20,0","4,00","2,60","26,0",BRC0886A,Nome não encontrado
Manganês,mg,,,,,BRC0886A,Nome não encontrado
Zinco,mg,"0,12","0,02","0,02","0,16",BRC0886A,Nome não encontrado
Cobre,mg,"0,03","0,01","0,00","0,04",BRC0886A,Nome não encontrado
Selênio,mcg,"2,20","0,44","0,29","2,86",BRC0886A,Nome não encontrado
Vitamina A (RE),mcg,"1,00","0,20","0,13","1,30",BRC0886A,Nome não encontrado
Vitamina A (RAE),mcg,"1,00","0,20","0,13","1,30",BRC0886A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0886A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,00","0,00","0,03",BRC0886A,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,00","0,05",BRC0886A,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,00","0,03",BRC0886A,Nome não encontrado
Niacina,mg,"0,33","0,07","0,04","0,43",BRC0886A,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,02",BRC0886A,Nome não encontrado
Vitamina B12,mcg,"0,05","0,01","0,01","0,07",BRC0886A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0886A,Nome não encontrado
Equivalente de folato,mcg,"5,00","1,00","0,65","6,50",BRC0886A,Nome não encontrado
Sal de adição,g,,,,,BRC0886A,Nome não encontrado
Açúcar de adição,g,,,,,BRC0886A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0886A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0886A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0886A,Nome não encontrado
