componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,807,403,807,BRC0887F,Nome não encontrado
Energia,kcal,194,96,193,BRC0887F,Nome não encontrado
Umidade,g,"62,7","31,3","62,7",BRC0887F,Nome não encontrado
Carboidrato total,g,"11,3","5,63","11,3",BRC0887F,Nome não encontrado
Carboidrato disponível,g,"10,2","5,11","10,2",BRC0887F,Nome não encontrado
Proteína,g,"11,6","5,80","11,6",BRC0887F,Nome não encontrado
Lipídios,g,"11,6","5,79","11,6",BRC0887F,Nome não encontrado
Fibra alimentar,g,"1,03","0,51","1,03",BRC0887F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0887F,Nome não encontrado
Cinzas,g,"2,90","1,45","2,90",BRC0887F,Nome não encontrado
Colesterol,mg,"21,8","10,9","21,8",BRC0887F,Nome não encontrado
Ácidos graxos saturados,g,"2,84","1,42","2,84",BRC0887F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,48","1,74","3,48",BRC0887F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,54","2,27","4,54",BRC0887F,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,07","0,13",BRC0887F,Nome não encontrado
Cálcio,mg,"20,7","10,4","20,7",BRC0887F,Nome não encontrado
Ferro,mg,"1,34","0,67","1,34",BRC0887F,Nome não encontrado
Sódio,mg,779,389,779,BRC0887F,Nome não encontrado
Magnésio,mg,"35,3","17,6","35,3",BRC0887F,Nome não encontrado
Fósforo,mg,161,"80,8",161,BRC0887F,Nome não encontrado
Potássio,mg,444,222,444,BRC0887F,Nome não encontrado
Manganês,mg,"0,28","0,14","0,28",BRC0887F,Nome não encontrado
Zinco,mg,"1,67","0,83","1,67",BRC0887F,Nome não encontrado
Cobre,mg,"0,16","0,08","0,16",BRC0887F,Nome não encontrado
Selênio,mcg,"0,14","0,07","0,14",BRC0887F,Nome não encontrado
Vitamina A (RE),mcg,"54,7","27,3","54,7",BRC0887F,Nome não encontrado
Vitamina A (RAE),mcg,"36,7","18,4","36,7",BRC0887F,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,04",BRC0887F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,32","0,65",BRC0887F,Nome não encontrado
Tiamina,mg,"0,13","0,06","0,13",BRC0887F,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,05",BRC0887F,Nome não encontrado
Niacina,mg,"3,96","1,98","3,96",BRC0887F,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0887F,Nome não encontrado
Vitamina B12,mcg,"0,43","0,21","0,43",BRC0887F,Nome não encontrado
Vitamina C,mg,"8,14","4,07","8,14",BRC0887F,Nome não encontrado
Equivalente de folato,mcg,"6,62","3,31","6,62",BRC0887F,Nome não encontrado
Sal de adição,g,,traços,,BRC0887F,Nome não encontrado
Açúcar de adição,g,,traços,,BRC0887F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0887F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0887F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0887F,Nome não encontrado
