componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (13 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,294,58,38,382,BRC0890B,Nome não encontrado
Energia,kcal,70,13,9,90,BRC0890B,Nome não encontrado
Umidade,g,"84,2","16,8","10,9",109,BRC0890B,Nome não encontrado
Carboidrato total,g,"6,18","1,24","0,80","8,04",BRC0890B,Nome não encontrado
Carboidrato disponível,g,"5,37","1,07","0,70","6,98",BRC0890B,Nome não encontrado
Proteína,g,"7,49","1,50","0,97","9,74",BRC0890B,Nome não encontrado
Lipídios,g,"1,86","0,37","0,24","2,42",BRC0890B,Nome não encontrado
Fibra alimentar,g,"0,81","0,16","0,11","1,06",BRC0890B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0890B,Nome não encontrado
Cinzas,g,"0,49","0,10","0,06","0,64",BRC0890B,Nome não encontrado
Colesterol,mg,"18,9","3,79","2,46","24,6",BRC0890B,Nome não encontrado
Ácidos graxos saturados,g,"0,42","0,08","0,05","0,55",BRC0890B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,10","0,06","0,64",BRC0890B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,16","0,11","1,05",BRC0890B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,00","0,02",BRC0890B,Nome não encontrado
Cálcio,mg,"12,4","2,48","1,61","16,1",BRC0890B,Nome não encontrado
Ferro,mg,"0,30","0,06","0,04","0,38",BRC0890B,Nome não encontrado
Sódio,mg,"24,1","4,82","3,13","31,3",BRC0890B,Nome não encontrado
Magnésio,mg,"9,42","1,88","1,23","12,3",BRC0890B,Nome não encontrado
Fósforo,mg,"62,7","12,5","8,15","81,5",BRC0890B,Nome não encontrado
Potássio,mg,151,"30,3","19,7",196,BRC0890B,Nome não encontrado
Manganês,mg,"0,17","0,03","0,02","0,22",BRC0890B,Nome não encontrado
Zinco,mg,"0,35","0,07","0,05","0,45",BRC0890B,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01","0,07",BRC0890B,Nome não encontrado
Selênio,mcg,"2,77","0,55","0,36","3,60",BRC0890B,Nome não encontrado
Vitamina A (RE),mcg,111,"22,3","14,5",144,BRC0890B,Nome não encontrado
Vitamina A (RAE),mcg,"57,6","11,5","7,48","74,8",BRC0890B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0890B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,08","0,05","0,53",BRC0890B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,00","0,05",BRC0890B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0890B,Nome não encontrado
Niacina,mg,"1,89","0,38","0,25","2,45",BRC0890B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01","0,06",BRC0890B,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,00","0,04",BRC0890B,Nome não encontrado
Vitamina C,mg,"3,04","0,61","0,40","3,95",BRC0890B,Nome não encontrado
Equivalente de folato,mcg,"7,42","1,48","0,96","9,64",BRC0890B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0890B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0890B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0890B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0890B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0890B,Nome não encontrado
