componente,unidade,Valor por 100g,Concha rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,567,339,BRC0891F,Nome não encontrado
Energia,kcal,135,80,BRC0891F,Nome não encontrado
Umidade,g,"72,7","43,6",BRC0891F,Nome não encontrado
Carboidrato total,g,"0,75","0,45",BRC0891F,Nome não encontrado
Carboidrato disponível,g,"0,61","0,37",BRC0891F,Nome não encontrado
Proteína,g,"20,7","12,4",BRC0891F,Nome não encontrado
Lipídios,g,"5,49","3,29",BRC0891F,Nome não encontrado
Fibra alimentar,g,"0,14","0,08",BRC0891F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0891F,Nome não encontrado
Cinzas,g,"0,35","0,21",BRC0891F,Nome não encontrado
Colesterol,mg,233,139,BRC0891F,Nome não encontrado
Ácidos graxos saturados,g,"2,47","1,48",BRC0891F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,61","0,97",BRC0891F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,49",BRC0891F,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08",BRC0891F,Nome não encontrado
Cálcio,mg,"13,4","8,03",BRC0891F,Nome não encontrado
Ferro,mg,"0,57","0,34",BRC0891F,Nome não encontrado
Sódio,mg,"36,4","21,8",BRC0891F,Nome não encontrado
Magnésio,mg,"7,87","4,72",BRC0891F,Nome não encontrado
Fósforo,mg,"63,2","37,9",BRC0891F,Nome não encontrado
Potássio,mg,"81,6","48,9",BRC0891F,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0891F,Nome não encontrado
Zinco,mg,"2,39","1,43",BRC0891F,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0891F,Nome não encontrado
Selênio,mcg,"38,3","23,0",BRC0891F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0891F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0891F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0891F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,13",BRC0891F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0891F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0891F,Nome não encontrado
Niacina,mg,"2,07","1,24",BRC0891F,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0891F,Nome não encontrado
Vitamina B12,mcg,"0,46","0,27",BRC0891F,Nome não encontrado
Vitamina C,mg,"0,45","0,27",BRC0891F,Nome não encontrado
Equivalente de folato,mcg,"3,54","2,13",BRC0891F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0891F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0891F,Nome não encontrado
Gordura de adição,g,-,-,BRC0891F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0891F,Nome não encontrado
Proteína animal,g,-,-,BRC0891F,Nome não encontrado
