componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Escumadeira rasa (120 g),codigo_alimento,nome_alimento
Energia,kJ,1107,276,1328,BRC0892A,Nome não encontrado
Energia,kcal,268,66,321,BRC0892A,Nome não encontrado
Umidade,g,"58,1","14,5","69,7",BRC0892A,Nome não encontrado
Carboidrato total,g,"9,70","2,43","11,6",BRC0892A,Nome não encontrado
Carboidrato disponível,g,"8,01","2,00","9,62",BRC0892A,Nome não encontrado
Proteína,g,"5,97","1,49","7,16",BRC0892A,Nome não encontrado
Lipídios,g,"23,1","5,78","27,7",BRC0892A,Nome não encontrado
Fibra alimentar,g,"1,69","0,42","2,03",BRC0892A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0892A,Nome não encontrado
Cinzas,g,"3,12","0,78","3,75",BRC0892A,Nome não encontrado
Colesterol,mg,"44,2","11,1","53,1",BRC0892A,Nome não encontrado
Ácidos graxos saturados,g,"7,46","1,87","8,95",BRC0892A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,63","2,41","11,6",BRC0892A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,71","1,18","5,65",BRC0892A,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,04","0,18",BRC0892A,Nome não encontrado
Cálcio,mg,"46,7","11,7","56,1",BRC0892A,Nome não encontrado
Ferro,mg,"1,44","0,36","1,73",BRC0892A,Nome não encontrado
Sódio,mg,1063,265,1276,BRC0892A,Nome não encontrado
Magnésio,mg,"39,1","9,78","47,0",BRC0892A,Nome não encontrado
Fósforo,mg,107,"27,0",129,BRC0892A,Nome não encontrado
Potássio,mg,208,"52,1",250,BRC0892A,Nome não encontrado
Manganês,mg,"0,48","0,12","0,57",BRC0892A,Nome não encontrado
Zinco,mg,"0,85","0,21","1,02",BRC0892A,Nome não encontrado
Cobre,mg,"0,28","0,07","0,33",BRC0892A,Nome não encontrado
Selênio,mcg,"14,0","3,50","16,8",BRC0892A,Nome não encontrado
Vitamina A (RE),mcg,1158,289,1390,BRC0892A,Nome não encontrado
Vitamina A (RAE),mcg,579,144,695,BRC0892A,Nome não encontrado
Vitamina D,mcg,"1,00","0,25","1,19",BRC0892A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,09","0,52","2,51",BRC0892A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0892A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0892A,Nome não encontrado
Niacina,mg,"1,79","0,45","2,15",BRC0892A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0892A,Nome não encontrado
Vitamina B12,mcg,,,,BRC0892A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0892A,Nome não encontrado
Equivalente de folato,mcg,"26,8","6,69","32,1",BRC0892A,Nome não encontrado
Sal de adição,g,"0,47","0,12","0,56",BRC0892A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0892A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0892A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0892A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0892A,Nome não encontrado
