componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,157,47,31,15,BRC0892B,Nome não encontrado
Energia,kcal,38,11,7,3,BRC0892B,Nome não encontrado
Umidade,g,"89,3","26,8","17,9","8,93",BRC0892B,Nome não encontrado
Carboidrato total,g,"4,79","1,44","0,96","0,48",BRC0892B,Nome não encontrado
Carboidrato disponível,g,"1,94","0,58","0,39","0,19",BRC0892B,Nome não encontrado
Proteína,g,"2,47","0,74","0,49","0,25",BRC0892B,Nome não encontrado
Lipídios,g,"1,60","0,48","0,32","0,16",BRC0892B,Nome não encontrado
Fibra alimentar,g,"2,85","0,86","0,57","0,29",BRC0892B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0892B,Nome não encontrado
Cinzas,g,"1,83","0,55","0,37","0,18",BRC0892B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0892B,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,08","0,05","0,03",BRC0892B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,08","0,06","0,03",BRC0892B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,24","0,16","0,08",BRC0892B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0892B,Nome não encontrado
Cálcio,mg,183,"55,2","36,8","18,4",BRC0892B,Nome não encontrado
Ferro,mg,"0,61","0,18","0,12","0,06",BRC0892B,Nome não encontrado
Sódio,mg,288,"86,6","57,8","28,9",BRC0892B,Nome não encontrado
Magnésio,mg,"35,5","10,6","7,09","3,55",BRC0892B,Nome não encontrado
Fósforo,mg,"40,2","12,1","8,04","4,02",BRC0892B,Nome não encontrado
Potássio,mg,519,155,103,"51,9",BRC0892B,Nome não encontrado
Manganês,mg,"0,29","0,09","0,06","0,03",BRC0892B,Nome não encontrado
Zinco,mg,"0,24","0,07","0,05","0,02",BRC0892B,Nome não encontrado
Cobre,mg,"0,07","0,02","0,01","0,01",BRC0892B,Nome não encontrado
Selênio,mcg,"0,28","0,08","0,06","0,03",BRC0892B,Nome não encontrado
Vitamina A (RE),mcg,388,116,"77,8","38,9",BRC0892B,Nome não encontrado
Vitamina A (RAE),mcg,194,"58,3","38,9","19,4",BRC0892B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0892B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,09","0,33","0,22","0,11",BRC0892B,Nome não encontrado
Tiamina,mg,"0,12","0,04","0,02","0,01",BRC0892B,Nome não encontrado
Riboflavina,mg,"0,15","0,04","0,03","0,01",BRC0892B,Nome não encontrado
Niacina,mg,"1,05","0,31","0,21","0,10",BRC0892B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01",BRC0892B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0892B,Nome não encontrado
Vitamina C,mg,"32,0","9,60","6,40","3,20",BRC0892B,Nome não encontrado
Equivalente de folato,mcg,"14,7","4,42","2,95","1,47",BRC0892B,Nome não encontrado
Sal de adição,g,"0,47","0,14","0,09","0,05",BRC0892B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0892B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0892B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0892B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0892B,Nome não encontrado
