componente,unidade,Valor por 100g,Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,189,66,37,22,245,BRC0899B,Nome não encontrado
Energia,kcal,45,15,8,5,58,BRC0899B,Nome não encontrado
Umidade,g,"88,4","30,9","17,7","10,6",114,BRC0899B,Nome não encontrado
Carboidrato total,g,"7,54","2,64","1,51","0,90","9,80",BRC0899B,Nome não encontrado
Carboidrato disponível,g,"5,79","2,03","1,16","0,70","7,53",BRC0899B,Nome não encontrado
Proteína,g,"1,80","0,63","0,36","0,22","2,33",BRC0899B,Nome não encontrado
Lipídios,g,"1,24","0,43","0,25","0,15","1,61",BRC0899B,Nome não encontrado
Fibra alimentar,g,"1,74","0,61","0,35","0,21","2,27",BRC0899B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0899B,Nome não encontrado
Cinzas,g,"1,01","0,35","0,20","0,12","1,32",BRC0899B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0899B,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,07","0,04","0,02","0,25",BRC0899B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,10","0,06","0,03","0,37",BRC0899B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,68","0,24","0,14","0,08","0,88",BRC0899B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,BRC0899B,Nome não encontrado
Cálcio,mg,"42,5","14,9","8,51","5,10","55,3",BRC0899B,Nome não encontrado
Ferro,mg,"0,47","0,16","0,09","0,06","0,61",BRC0899B,Nome não encontrado
Sódio,mg,131,"45,9","26,2","15,7",170,BRC0899B,Nome não encontrado
Magnésio,mg,"17,2","6,02","3,44","2,06","22,4",BRC0899B,Nome não encontrado
Fósforo,mg,"59,2","20,7","11,8","7,10","77,0",BRC0899B,Nome não encontrado
Potássio,mg,320,112,"64,1","38,5",416,BRC0899B,Nome não encontrado
Manganês,mg,"0,26","0,09","0,05","0,03","0,34",BRC0899B,Nome não encontrado
Zinco,mg,"0,26","0,09","0,05","0,03","0,33",BRC0899B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00","0,00","0,03",BRC0899B,Nome não encontrado
Selênio,mcg,"0,50","0,17","0,10","0,06","0,65",BRC0899B,Nome não encontrado
Vitamina A (RE),mcg,"43,7","15,3","8,75","5,25","56,9",BRC0899B,Nome não encontrado
Vitamina A (RAE),mcg,"21,9","7,66","4,37","2,62","28,4",BRC0899B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0899B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,07","0,04","0,02","0,27",BRC0899B,Nome não encontrado
Tiamina,mg,"0,07","0,02","0,01","0,01","0,09",BRC0899B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0899B,Nome não encontrado
Niacina,mg,"0,62","0,22","0,12","0,07","0,81",BRC0899B,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,01","0,01","0,09",BRC0899B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0899B,Nome não encontrado
Vitamina C,mg,"40,4","14,1","8,08","4,85","52,5",BRC0899B,Nome não encontrado
Equivalente de folato,mcg,"10,5","3,69","2,11","1,26","13,7",BRC0899B,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,09","0,06","0,61",BRC0899B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0899B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0899B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0899B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0899B,Nome não encontrado
