componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (70 g),codigo_alimento,nome_alimento
Energia,kJ,372,260,BRC0902B,Nome não encontrado
Energia,kcal,88,61,BRC0902B,Nome não encontrado
Umidade,g,"69,1","48,4",BRC0902B,Nome não encontrado
Carboidrato total,g,"16,7","11,7",BRC0902B,Nome não encontrado
Carboidrato disponível,g,"15,9","11,1",BRC0902B,Nome não encontrado
Proteína,g,"2,23","1,56",BRC0902B,Nome não encontrado
Lipídios,g,"1,44","1,01",BRC0902B,Nome não encontrado
Fibra alimentar,g,"1,23","0,86",BRC0902B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0902B,Nome não encontrado
Cinzas,g,"0,67","0,47",BRC0902B,Nome não encontrado
Colesterol,mg,"3,96","2,77",BRC0902B,Nome não encontrado
Ácidos graxos saturados,g,"0,76","0,53",BRC0902B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,42","0,29",BRC0902B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,22","0,15",BRC0902B,Nome não encontrado
Ácidos graxos trans,g,,,BRC0902B,Nome não encontrado
Cálcio,mg,"35,2","24,7",BRC0902B,Nome não encontrado
Ferro,mg,"0,73","0,51",BRC0902B,Nome não encontrado
Sódio,mg,169,118,BRC0902B,Nome não encontrado
Magnésio,mg,"4,74","3,32",BRC0902B,Nome não encontrado
Fósforo,mg,"40,1","28,1",BRC0902B,Nome não encontrado
Potássio,mg,"49,1","34,4",BRC0902B,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0902B,Nome não encontrado
Zinco,mg,"0,24","0,17",BRC0902B,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC0902B,Nome não encontrado
Selênio,mcg,"2,25","1,57",BRC0902B,Nome não encontrado
Vitamina A (RE),mcg,"21,4","15,0",BRC0902B,Nome não encontrado
Vitamina A (RAE),mcg,"18,4","12,9",BRC0902B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0902B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,05",BRC0902B,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0902B,Nome não encontrado
Riboflavina,mg,"0,07","0,05",BRC0902B,Nome não encontrado
Niacina,mg,"0,46","0,32",BRC0902B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC0902B,Nome não encontrado
Vitamina B12,mcg,"0,11","0,08",BRC0902B,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0902B,Nome não encontrado
Equivalente de folato,mcg,"41,0","28,7",BRC0902B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0902B,Nome não encontrado
Açúcar de adição,g,"8,00","5,60",BRC0902B,Nome não encontrado
Gordura de adição,g,-,-,BRC0902B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0902B,Nome não encontrado
Proteína animal,g,-,-,BRC0902B,Nome não encontrado
