componente,unidade,Valor por 100g,Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,778,466,BRC0920B,Nome não encontrado
Energia,kcal,184,110,BRC0920B,Nome não encontrado
Umidade,g,"54,8","32,9",BRC0920B,Nome não encontrado
Carboidrato total,g,"36,7","22,0",BRC0920B,Nome não encontrado
Carboidrato disponível,g,"34,9","20,9",BRC0920B,Nome não encontrado
Proteína,g,"5,84","3,50",BRC0920B,Nome não encontrado
Lipídios,g,"1,94","1,16",BRC0920B,Nome não encontrado
Fibra alimentar,g,"1,77","1,06",BRC0920B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0920B,Nome não encontrado
Cinzas,g,"0,78","0,47",BRC0920B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0920B,Nome não encontrado
Ácidos graxos saturados,g,"0,56","0,33",BRC0920B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,47","0,28",BRC0920B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,47",BRC0920B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0920B,Nome não encontrado
Cálcio,mg,"11,5","6,88",BRC0920B,Nome não encontrado
Ferro,mg,"1,65","0,99",BRC0920B,Nome não encontrado
Sódio,mg,134,"80,9",BRC0920B,Nome não encontrado
Magnésio,mg,"17,8","10,7",BRC0920B,Nome não encontrado
Fósforo,mg,"68,2","40,9",BRC0920B,Nome não encontrado
Potássio,mg,163,"97,9",BRC0920B,Nome não encontrado
Manganês,mg,"0,30","0,18",BRC0920B,Nome não encontrado
Zinco,mg,"0,48","0,29",BRC0920B,Nome não encontrado
Cobre,mg,"0,10","0,06",BRC0920B,Nome não encontrado
Selênio,mcg,"1,41","0,85",BRC0920B,Nome não encontrado
Vitamina A (RE),mcg,"15,4","9,26",BRC0920B,Nome não encontrado
Vitamina A (RAE),mcg,"15,4","9,26",BRC0920B,Nome não encontrado
Vitamina D,mcg,"0,03","0,02",BRC0920B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,08",BRC0920B,Nome não encontrado
Tiamina,mg,"0,08","0,05",BRC0920B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0920B,Nome não encontrado
Niacina,mg,traços,traços,BRC0920B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0920B,Nome não encontrado
Vitamina B12,mcg,traços,traços,BRC0920B,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0920B,Nome não encontrado
Equivalente de folato,mcg,"56,3","33,8",BRC0920B,Nome não encontrado
Sal de adição,g,"0,32","0,19",BRC0920B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0920B,Nome não encontrado
Gordura de adição,g,-,-,BRC0920B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0920B,Nome não encontrado
Proteína animal,g,-,-,BRC0920B,Nome não encontrado
