componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (90 g),Escumadeira cheia (110 g),codigo_alimento,nome_alimento
Energia,kJ,434,217,108,391,477,BRC0937A,Nome não encontrado
Energia,kcal,102,51,25,92,112,BRC0937A,Nome não encontrado
Umidade,g,"73,4","36,7","18,3","66,0","80,7",BRC0937A,Nome não encontrado
Carboidrato total,g,"23,9","11,9","5,97","21,5","26,3",BRC0937A,Nome não encontrado
Carboidrato disponível,g,"22,9","11,4","5,72","20,6","25,2",BRC0937A,Nome não encontrado
Proteína,g,"1,78","0,89","0,45","1,60","1,96",BRC0937A,Nome não encontrado
Lipídios,g,"0,20","0,10","0,05","0,18","0,22",BRC0937A,Nome não encontrado
Fibra alimentar,g,"1,00","0,50","0,25","0,90","1,10",BRC0937A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Cinzas,g,"0,77","0,39","0,19","0,69","0,85",BRC0937A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,01","0,01","0,02","0,03",BRC0937A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01","0,01","0,02","0,03",BRC0937A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01","0,01","0,02","0,03",BRC0937A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Cálcio,mg,"4,00","2,00","1,00","3,60","4,40",BRC0937A,Nome não encontrado
Ferro,mg,"0,14","0,07","0,04","0,13","0,15",BRC0937A,Nome não encontrado
Sódio,mg,250,125,"62,5",225,275,BRC0937A,Nome não encontrado
Magnésio,mg,"3,00","1,50","0,75","2,70","3,30",BRC0937A,Nome não encontrado
Fósforo,mg,"20,0","10,00","5,00","18,0","22,0",BRC0937A,Nome não encontrado
Potássio,mg,"4,00","2,00","1,00","3,60","4,40",BRC0937A,Nome não encontrado
Manganês,mg,,traços,,,,BRC0937A,Nome não encontrado
Zinco,mg,"0,25","0,13","0,06","0,23","0,28",BRC0937A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,03","0,04",BRC0937A,Nome não encontrado
Selênio,mcg,"4,50","2,25","1,13","4,05","4,95",BRC0937A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,02","0,01","0,03","0,03",BRC0937A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,00","0,02","0,02",BRC0937A,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Niacina,mg,"0,07","0,04","0,02","0,06","0,08",BRC0937A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01","0,01",BRC0937A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Equivalente de folato,mcg,"1,00","0,50","0,25","0,90","1,10",BRC0937A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
Proteína vegetal,g,"1,78","0,89","0,45","1,60","1,96",BRC0937A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0937A,Nome não encontrado
