componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,450,225,112,495,405,BRC0943A,Nome não encontrado
Energia,kcal,107,53,26,117,96,BRC0943A,Nome não encontrado
Umidade,g,"75,5","37,8","18,9","83,1","68,0",BRC0943A,Nome não encontrado
Carboidrato total,g,"12,2","6,12","3,06","13,5","11,0",BRC0943A,Nome não encontrado
Carboidrato disponível,g,"10,9","5,46","2,73","12,0","9,83",BRC0943A,Nome não encontrado
Proteína,g,"8,16","4,08","2,04","8,97","7,34",BRC0943A,Nome não encontrado
Lipídios,g,"3,07","1,53","0,77","3,37","2,76",BRC0943A,Nome não encontrado
Fibra alimentar,g,"1,32","0,66","0,33","1,45","1,19",BRC0943A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0943A,Nome não encontrado
Cinzas,g,"1,07","0,53","0,27","1,17","0,96",BRC0943A,Nome não encontrado
Colesterol,mg,"17,7","8,85","4,43","19,5","15,9",BRC0943A,Nome não encontrado
Ácidos graxos saturados,g,"0,55","0,28","0,14","0,61","0,50",BRC0943A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,03","0,51","0,26","1,13","0,93",BRC0943A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,99","0,49","0,25","1,09","0,89",BRC0943A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00","0,02","0,01",BRC0943A,Nome não encontrado
Cálcio,mg,"12,0","6,00","3,00","13,2","10,8",BRC0943A,Nome não encontrado
Ferro,mg,"0,34","0,17","0,08","0,37","0,31",BRC0943A,Nome não encontrado
Sódio,mg,220,110,"55,1",242,198,BRC0943A,Nome não encontrado
Magnésio,mg,"8,57","4,29","2,14","9,43","7,71",BRC0943A,Nome não encontrado
Fósforo,mg,"69,4","34,7","17,3","76,3","62,4",BRC0943A,Nome não encontrado
Potássio,mg,118,"59,2","29,6",130,106,BRC0943A,Nome não encontrado
Manganês,mg,"0,04","0,02","0,01","0,05","0,04",BRC0943A,Nome não encontrado
Zinco,mg,"0,41","0,20","0,10","0,45","0,37",BRC0943A,Nome não encontrado
Cobre,mg,"0,07","0,03","0,02","0,07","0,06",BRC0943A,Nome não encontrado
Selênio,mcg,"4,90","2,45","1,23","5,39","4,41",BRC0943A,Nome não encontrado
Vitamina A (RE),mcg,"61,3","30,6","15,3","67,4","55,2",BRC0943A,Nome não encontrado
Vitamina A (RAE),mcg,"31,5","15,8","7,89","34,7","28,4",BRC0943A,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00","0,01","0,01",BRC0943A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,19","0,10","0,42","0,35",BRC0943A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,01","0,06","0,05",BRC0943A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,02","0,02",BRC0943A,Nome não encontrado
Niacina,mg,"1,90","0,95","0,48","2,09","1,71",BRC0943A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01","0,03","0,03",BRC0943A,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,01","0,03","0,02",BRC0943A,Nome não encontrado
Vitamina C,mg,"9,51","4,76","2,38","10,5","8,56",BRC0943A,Nome não encontrado
Equivalente de folato,mcg,"11,0","5,48","2,74","12,1","9,87",BRC0943A,Nome não encontrado
Sal de adição,g,,traços,,,,BRC0943A,Nome não encontrado
Açúcar de adição,g,,traços,,,,BRC0943A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0943A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0943A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0943A,Nome não encontrado
