componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,293,58,380,BRC0958F,Nome não encontrado
Energia,kcal,69,13,90,BRC0958F,Nome não encontrado
Umidade,g,"83,6","16,7",108,BRC0958F,Nome não encontrado
Carboidrato total,g,"6,64","1,33","8,63",BRC0958F,Nome não encontrado
Carboidrato disponível,g,"5,69","1,14","7,40",BRC0958F,Nome não encontrado
Proteína,g,"7,70","1,54","10,0",BRC0958F,Nome não encontrado
Lipídios,g,"1,57","0,31","2,04",BRC0958F,Nome não encontrado
Fibra alimentar,g,"0,95","0,19","1,23",BRC0958F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0958F,Nome não encontrado
Cinzas,g,"0,54","0,11","0,70",BRC0958F,Nome não encontrado
Colesterol,mg,"19,0","3,79","24,7",BRC0958F,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,08","0,49",BRC0958F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,09","0,56",BRC0958F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,12","0,81",BRC0958F,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,02",BRC0958F,Nome não encontrado
Cálcio,mg,"13,1","2,61","17,0",BRC0958F,Nome não encontrado
Ferro,mg,"0,34","0,07","0,44",BRC0958F,Nome não encontrado
Sódio,mg,"20,2","4,05","26,3",BRC0958F,Nome não encontrado
Magnésio,mg,"10,2","2,04","13,2",BRC0958F,Nome não encontrado
Fósforo,mg,"65,7","13,1","85,4",BRC0958F,Nome não encontrado
Potássio,mg,160,"32,1",208,BRC0958F,Nome não encontrado
Manganês,mg,"1,48","0,30","1,93",BRC0958F,Nome não encontrado
Zinco,mg,"0,35","0,07","0,46",BRC0958F,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0958F,Nome não encontrado
Selênio,mcg,"2,84","0,57","3,69",BRC0958F,Nome não encontrado
Vitamina A (RE),mcg,113,"22,8",148,BRC0958F,Nome não encontrado
Vitamina A (RAE),mcg,"57,3","11,5","74,4",BRC0958F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0958F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,43","0,29","1,86",BRC0958F,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,06",BRC0958F,Nome não encontrado
Riboflavina,mg,"0,02","0,00","0,02",BRC0958F,Nome não encontrado
Niacina,mg,"1,87","0,37","2,43",BRC0958F,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0958F,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,04",BRC0958F,Nome não encontrado
Vitamina C,mg,"2,19","0,44","2,85",BRC0958F,Nome não encontrado
Equivalente de folato,mcg,"21,4","4,28","27,8",BRC0958F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0958F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0958F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0958F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0958F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0958F,Nome não encontrado
