componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (20 g),Pedaço/ Unidade/ Fatia (M) (40 g),codigo_alimento,nome_alimento
Energia,kJ,1109,388,221,443,BRC0989F,Nome não encontrado
Energia,kcal,267,93,53,106,BRC0989F,Nome não encontrado
Umidade,g,"52,4","18,3","10,5","20,9",BRC0989F,Nome não encontrado
Carboidrato total,g,"0,70","0,24","0,14","0,28",BRC0989F,Nome não encontrado
Carboidrato disponível,g,"0,70","0,24","0,14","0,28",BRC0989F,Nome não encontrado
Proteína,g,"19,9","6,95","3,97","7,94",BRC0989F,Nome não encontrado
Lipídios,g,"23,3","8,17","4,67","9,34",BRC0989F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Cinzas,g,"3,76","1,31","0,75","1,50",BRC0989F,Nome não encontrado
Colesterol,mg,"77,8","27,2","15,6","31,1",BRC0989F,Nome não encontrado
Ácidos graxos saturados,g,"6,25","2,19","1,25","2,50",BRC0989F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,38","2,93","1,68","3,35",BRC0989F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,27","1,84","1,05","2,11",BRC0989F,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,02","0,01","0,02",BRC0989F,Nome não encontrado
Cálcio,mg,"9,94","3,48","1,99","3,98",BRC0989F,Nome não encontrado
Ferro,mg,"1,05","0,37","0,21","0,42",BRC0989F,Nome não encontrado
Sódio,mg,1320,462,264,528,BRC0989F,Nome não encontrado
Magnésio,mg,"18,8","6,60","3,77","7,54",BRC0989F,Nome não encontrado
Fósforo,mg,209,"73,5","42,0","83,9",BRC0989F,Nome não encontrado
Potássio,mg,348,122,"69,7",139,BRC0989F,Nome não encontrado
Manganês,mg,"0,30","0,10","0,06","0,12",BRC0989F,Nome não encontrado
Zinco,mg,"3,48","1,22","0,70","1,39",BRC0989F,Nome não encontrado
Cobre,mg,"0,13","0,04","0,03","0,05",BRC0989F,Nome não encontrado
Selênio,mcg,"7,70","2,70","1,54","3,08",BRC0989F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,BRC0989F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,BRC0989F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,06","0,37","0,21","0,42",BRC0989F,Nome não encontrado
Tiamina,mg,"0,25","0,09","0,05","0,10",BRC0989F,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,01","0,02",BRC0989F,Nome não encontrado
Niacina,mg,"6,03","2,11","1,21","2,41",BRC0989F,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Vitamina B12,mcg,"0,58","0,20","0,12","0,23",BRC0989F,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Equivalente de folato,mcg,"11,9","4,17","2,38","4,76",BRC0989F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0989F,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0989F,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0989F,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0989F,Nome não encontrado
