componente,unidade,Valor por 100g,Colher servir cheia (100 g),Colher servir rasa (80 g),Escumadeira cheia (170 g),Pedaço/ Unidade/ Fatia (M) (190 g),codigo_alimento,nome_alimento
Energia,kJ,423,423,338,719,804,BRC1025B,Nome não encontrado
Energia,kcal,102,101,81,172,193,BRC1025B,Nome não encontrado
Umidade,g,"78,5","78,5","62,8",133,149,BRC1025B,Nome não encontrado
Carboidrato total,g,"5,28","5,28","4,23","8,98","10,0",BRC1025B,Nome não encontrado
Carboidrato disponível,g,"2,77","2,77","2,21","4,70","5,26",BRC1025B,Nome não encontrado
Proteína,g,"7,86","7,86","6,28","13,4","14,9",BRC1025B,Nome não encontrado
Lipídios,g,"6,02","6,02","4,82","10,2","11,4",BRC1025B,Nome não encontrado
Fibra alimentar,g,"2,52","2,52","2,01","4,28","4,78",BRC1025B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1025B,Nome não encontrado
Cinzas,g,"2,30","2,30","1,84","3,90","4,36",BRC1025B,Nome não encontrado
Colesterol,mg,"21,2","21,2","17,0","36,1","40,4",BRC1025B,Nome não encontrado
Ácidos graxos saturados,g,"3,20","3,20","2,56","5,44","6,08",BRC1025B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,52","1,52","1,21","2,58","2,88",BRC1025B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,40","0,40","0,32","0,68","0,76",BRC1025B,Nome não encontrado
Ácidos graxos trans,g,"0,19","0,19","0,15","0,32","0,35",BRC1025B,Nome não encontrado
Cálcio,mg,167,167,133,284,317,BRC1025B,Nome não encontrado
Ferro,mg,"0,70","0,70","0,56","1,19","1,33",BRC1025B,Nome não encontrado
Sódio,mg,427,427,342,727,812,BRC1025B,Nome não encontrado
Magnésio,mg,"22,1","22,1","17,7","37,6","42,0",BRC1025B,Nome não encontrado
Fósforo,mg,136,136,108,231,258,BRC1025B,Nome não encontrado
Potássio,mg,313,313,250,532,595,BRC1025B,Nome não encontrado
Manganês,mg,"0,22","0,22","0,18","0,38","0,42",BRC1025B,Nome não encontrado
Zinco,mg,"1,43","1,43","1,14","2,43","2,72",BRC1025B,Nome não encontrado
Cobre,mg,"0,08","0,08","0,07","0,14","0,16",BRC1025B,Nome não encontrado
Selênio,mcg,"4,25","4,25","3,40","7,23","8,08",BRC1025B,Nome não encontrado
Vitamina A (RE),mcg,"74,6","74,6","59,7",126,141,BRC1025B,Nome não encontrado
Vitamina A (RAE),mcg,"47,6","47,6","38,1","80,9","90,4",BRC1025B,Nome não encontrado
Vitamina D,mcg,"0,02","0,02","0,01","0,03","0,03",BRC1025B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,95","0,95","0,76","1,62","1,81",BRC1025B,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,02","0,02",BRC1025B,Nome não encontrado
Riboflavina,mg,"0,09","0,09","0,07","0,15","0,17",BRC1025B,Nome não encontrado
Niacina,mg,"0,29","0,29","0,23","0,49","0,55",BRC1025B,Nome não encontrado
Vitamina B6,mg,"0,04","0,04","0,03","0,06","0,07",BRC1025B,Nome não encontrado
Vitamina B12,mcg,"0,73","0,73","0,59","1,24","1,39",BRC1025B,Nome não encontrado
Vitamina C,mg,"4,38","4,38","3,51","7,45","8,33",BRC1025B,Nome não encontrado
Equivalente de folato,mcg,"18,5","18,5","14,8","31,5","35,2",BRC1025B,Nome não encontrado
Sal de adição,g,"0,47","0,47","0,38","0,80","0,89",BRC1025B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1025B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1025B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1025B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1025B,Nome não encontrado
