componente,unidade,Valor por 100g,Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,683,409,BRC1026B,Nome não encontrado
Energia,kcal,162,97,BRC1026B,Nome não encontrado
Umidade,g,"61,6","37,0",BRC1026B,Nome não encontrado
Carboidrato total,g,"27,3","16,4",BRC1026B,Nome não encontrado
Carboidrato disponível,g,"25,5","15,3",BRC1026B,Nome não encontrado
Proteína,g,"6,38","3,83",BRC1026B,Nome não encontrado
Lipídios,g,"3,43","2,06",BRC1026B,Nome não encontrado
Fibra alimentar,g,"1,83","1,10",BRC1026B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1026B,Nome não encontrado
Cinzas,g,"1,18","0,71",BRC1026B,Nome não encontrado
Colesterol,mg,"5,37","3,22",BRC1026B,Nome não encontrado
Ácidos graxos saturados,g,"0,89","0,53",BRC1026B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,91","0,55",BRC1026B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,47","0,88",BRC1026B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC1026B,Nome não encontrado
Cálcio,mg,"11,1","6,65",BRC1026B,Nome não encontrado
Ferro,mg,"1,42","0,85",BRC1026B,Nome não encontrado
Sódio,mg,251,150,BRC1026B,Nome não encontrado
Magnésio,mg,"17,5","10,5",BRC1026B,Nome não encontrado
Fósforo,mg,"71,1","42,6",BRC1026B,Nome não encontrado
Potássio,mg,206,124,BRC1026B,Nome não encontrado
Manganês,mg,"0,23","0,14",BRC1026B,Nome não encontrado
Zinco,mg,"0,95","0,57",BRC1026B,Nome não encontrado
Cobre,mg,"0,11","0,06",BRC1026B,Nome não encontrado
Selênio,mcg,"1,40","0,84",BRC1026B,Nome não encontrado
Vitamina A (RE),mcg,"41,5","24,9",BRC1026B,Nome não encontrado
Vitamina A (RAE),mcg,"26,2","15,7",BRC1026B,Nome não encontrado
Vitamina D,mcg,"0,03","0,02",BRC1026B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,24",BRC1026B,Nome não encontrado
Tiamina,mg,"0,09","0,05",BRC1026B,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC1026B,Nome não encontrado
Niacina,mg,"0,29","0,17",BRC1026B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC1026B,Nome não encontrado
Vitamina B12,mcg,"0,25","0,15",BRC1026B,Nome não encontrado
Vitamina C,mg,"4,56","2,74",BRC1026B,Nome não encontrado
Equivalente de folato,mcg,"43,5","26,1",BRC1026B,Nome não encontrado
Sal de adição,g,"0,45","0,27",BRC1026B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1026B,Nome não encontrado
Gordura de adição,g,-,-,BRC1026B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1026B,Nome não encontrado
Proteína animal,g,-,-,BRC1026B,Nome não encontrado
