componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,502,200,BRC1028A,Nome não encontrado
Energia,kcal,119,47,BRC1028A,Nome não encontrado
Umidade,g,"71,1","28,4",BRC1028A,Nome não encontrado
Carboidrato total,g,"24,3","9,72",BRC1028A,Nome não encontrado
Carboidrato disponível,g,"22,4","8,95",BRC1028A,Nome não encontrado
Proteína,g,"2,21","0,88",BRC1028A,Nome não encontrado
Lipídios,g,"1,86","0,74",BRC1028A,Nome não encontrado
Fibra alimentar,g,"1,94","0,78",BRC1028A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1028A,Nome não encontrado
Cinzas,g,"0,55","0,22",BRC1028A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1028A,Nome não encontrado
Ácidos graxos saturados,g,"0,35","0,14",BRC1028A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,16",BRC1028A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,97","0,39",BRC1028A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC1028A,Nome não encontrado
Cálcio,mg,"11,3","4,53",BRC1028A,Nome não encontrado
Ferro,mg,"0,40","0,16",BRC1028A,Nome não encontrado
Sódio,mg,"4,71","1,88",BRC1028A,Nome não encontrado
Magnésio,mg,"21,5","8,59",BRC1028A,Nome não encontrado
Fósforo,mg,"26,8","10,7",BRC1028A,Nome não encontrado
Potássio,mg,118,"47,3",BRC1028A,Nome não encontrado
Manganês,mg,"0,76","0,30",BRC1028A,Nome não encontrado
Zinco,mg,"0,48","0,19",BRC1028A,Nome não encontrado
Cobre,mg,"0,14","0,05",BRC1028A,Nome não encontrado
Selênio,mcg,"1,41","0,57",BRC1028A,Nome não encontrado
Vitamina A (RE),mcg,209,"83,7",BRC1028A,Nome não encontrado
Vitamina A (RAE),mcg,104,"41,9",BRC1028A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1028A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,16",BRC1028A,Nome não encontrado
Tiamina,mg,traços,traços,BRC1028A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1028A,Nome não encontrado
Niacina,mg,traços,traços,BRC1028A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC1028A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1028A,Nome não encontrado
Vitamina C,mg,"1,92","0,77",BRC1028A,Nome não encontrado
Equivalente de folato,mcg,"5,82","2,33",BRC1028A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1028A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1028A,Nome não encontrado
Gordura de adição,g,-,-,BRC1028A,Nome não encontrado
Proteína vegetal,g,-,-,BRC1028A,Nome não encontrado
Proteína animal,g,-,-,BRC1028A,Nome não encontrado
