componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,614,245,BRC1030A,Nome não encontrado
Energia,kcal,145,58,BRC1030A,Nome não encontrado
Umidade,g,"66,6","26,6",BRC1030A,Nome não encontrado
Carboidrato total,g,"20,3","8,14",BRC1030A,Nome não encontrado
Carboidrato disponível,g,"19,3","7,74",BRC1030A,Nome não encontrado
Proteína,g,"9,46","3,78",BRC1030A,Nome não encontrado
Lipídios,g,"3,13","1,25",BRC1030A,Nome não encontrado
Fibra alimentar,g,"1,01","0,40",BRC1030A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1030A,Nome não encontrado
Cinzas,g,"0,50","0,20",BRC1030A,Nome não encontrado
Colesterol,mg,"14,0","5,62",BRC1030A,Nome não encontrado
Ácidos graxos saturados,g,"1,01","0,40",BRC1030A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,02","0,41",BRC1030A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,31",BRC1030A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,02",BRC1030A,Nome não encontrado
Cálcio,mg,"8,05","3,22",BRC1030A,Nome não encontrado
Ferro,mg,"0,89","0,36",BRC1030A,Nome não encontrado
Sódio,mg,"29,0","11,6",BRC1030A,Nome não encontrado
Magnésio,mg,"20,6","8,24",BRC1030A,Nome não encontrado
Fósforo,mg,"62,3","24,9",BRC1030A,Nome não encontrado
Potássio,mg,104,"41,9",BRC1030A,Nome não encontrado
Manganês,mg,"0,71","0,29",BRC1030A,Nome não encontrado
Zinco,mg,"1,98","0,79",BRC1030A,Nome não encontrado
Cobre,mg,"0,13","0,05",BRC1030A,Nome não encontrado
Selênio,mcg,"1,13","0,45",BRC1030A,Nome não encontrado
Vitamina A (RE),mcg,"3,55","1,42",BRC1030A,Nome não encontrado
Vitamina A (RAE),mcg,"3,27","1,31",BRC1030A,Nome não encontrado
Vitamina D,mcg,"0,07","0,03",BRC1030A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,19",BRC1030A,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC1030A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1030A,Nome não encontrado
Niacina,mg,"0,53","0,21",BRC1030A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC1030A,Nome não encontrado
Vitamina B12,mcg,"0,34","0,14",BRC1030A,Nome não encontrado
Vitamina C,mg,"1,80","0,72",BRC1030A,Nome não encontrado
Equivalente de folato,mcg,"5,62","2,25",BRC1030A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1030A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1030A,Nome não encontrado
Gordura de adição,g,-,-,BRC1030A,Nome não encontrado
Proteína vegetal,g,-,-,BRC1030A,Nome não encontrado
Proteína animal,g,-,-,BRC1030A,Nome não encontrado
