componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1001,BRC1030F,Nome não encontrado
Energia,kcal,238,BRC1030F,Nome não encontrado
Umidade,g,"50,1",BRC1030F,Nome não encontrado
Carboidrato total,g,"16,9",BRC1030F,Nome não encontrado
Carboidrato disponível,g,"16,2",BRC1030F,Nome não encontrado
Proteína,g,"21,3",BRC1030F,Nome não encontrado
Lipídios,g,"9,69",BRC1030F,Nome não encontrado
Fibra alimentar,g,"0,71",BRC1030F,Nome não encontrado
Álcool,g,"0,00",BRC1030F,Nome não encontrado
Cinzas,g,"2,02",BRC1030F,Nome não encontrado
Colesterol,mg,215,BRC1030F,Nome não encontrado
Ácidos graxos saturados,g,"1,80",BRC1030F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,35",BRC1030F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,05",BRC1030F,Nome não encontrado
Ácidos graxos trans,g,"0,05",BRC1030F,Nome não encontrado
Cálcio,mg,127,BRC1030F,Nome não encontrado
Ferro,mg,"2,47",BRC1030F,Nome não encontrado
Sódio,mg,302,BRC1030F,Nome não encontrado
Magnésio,mg,"34,6",BRC1030F,Nome não encontrado
Fósforo,mg,229,BRC1030F,Nome não encontrado
Potássio,mg,405,BRC1030F,Nome não encontrado
Manganês,mg,"0,21",BRC1030F,Nome não encontrado
Zinco,mg,"1,63",BRC1030F,Nome não encontrado
Cobre,mg,"0,38",BRC1030F,Nome não encontrado
Selênio,mcg,"23,8",BRC1030F,Nome não encontrado
Vitamina A (RE),mcg,"15,7",BRC1030F,Nome não encontrado
Vitamina A (RAE),mcg,"61,6",BRC1030F,Nome não encontrado
Vitamina D,mcg,"0,90",BRC1030F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,33",BRC1030F,Nome não encontrado
Tiamina,mg,"0,21",BRC1030F,Nome não encontrado
Riboflavina,mg,"0,32",BRC1030F,Nome não encontrado
Niacina,mg,"1,65",BRC1030F,Nome não encontrado
Vitamina B6,mg,"0,14",BRC1030F,Nome não encontrado
Vitamina B12,mcg,"0,53",BRC1030F,Nome não encontrado
Vitamina C,mg,traços,BRC1030F,Nome não encontrado
Equivalente de folato,mcg,"62,9",BRC1030F,Nome não encontrado
Sal de adição,g,,BRC1030F,Nome não encontrado
Açúcar de adição,g,,BRC1030F,Nome não encontrado
Gordura de adição,g,-,BRC1030F,Nome não encontrado
Proteína vegetal,g,-,BRC1030F,Nome não encontrado
Proteína animal,g,-,BRC1030F,Nome não encontrado
