componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,349,157,BRC1033B,Nome não encontrado
Energia,kcal,84,37,BRC1033B,Nome não encontrado
Umidade,g,"79,9","36,0",BRC1033B,Nome não encontrado
Carboidrato total,g,"10,1","4,55",BRC1033B,Nome não encontrado
Carboidrato disponível,g,"3,69","1,66",BRC1033B,Nome não encontrado
Proteína,g,"3,90","1,76",BRC1033B,Nome não encontrado
Lipídios,g,"4,56","2,05",BRC1033B,Nome não encontrado
Fibra alimentar,g,"6,43","2,89",BRC1033B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1033B,Nome não encontrado
Cinzas,g,"1,48","0,67",BRC1033B,Nome não encontrado
Colesterol,mg,"10,0","4,51",BRC1033B,Nome não encontrado
Ácidos graxos saturados,g,"2,41","1,08",BRC1033B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,03","0,46",BRC1033B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,03",BRC1033B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,06",BRC1033B,Nome não encontrado
Cálcio,mg,"1,37","0,62",BRC1033B,Nome não encontrado
Ferro,mg,"1,46","0,66",BRC1033B,Nome não encontrado
Sódio,mg,128,"58,0",BRC1033B,Nome não encontrado
Magnésio,mg,"20,2","9,07",BRC1033B,Nome não encontrado
Fósforo,mg,166,"74,9",BRC1033B,Nome não encontrado
Potássio,mg,481,216,BRC1033B,Nome não encontrado
Manganês,mg,"0,12","0,05",BRC1033B,Nome não encontrado
Zinco,mg,"1,31","0,59",BRC1033B,Nome não encontrado
Cobre,mg,"0,26","0,12",BRC1033B,Nome não encontrado
Selênio,mcg,"0,05","0,02",BRC1033B,Nome não encontrado
Vitamina A (RE),mcg,"48,7","21,9",BRC1033B,Nome não encontrado
Vitamina A (RAE),mcg,"48,1","21,6",BRC1033B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1033B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01",BRC1033B,Nome não encontrado
Tiamina,mg,"0,73","0,33",BRC1033B,Nome não encontrado
Riboflavina,mg,"0,63","0,28",BRC1033B,Nome não encontrado
Niacina,mg,"48,6","21,9",BRC1033B,Nome não encontrado
Vitamina B6,mg,"0,37","0,16",BRC1033B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00",BRC1033B,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC1033B,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC1033B,Nome não encontrado
Sal de adição,g,"0,32","0,14",BRC1033B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1033B,Nome não encontrado
Gordura de adição,g,-,-,BRC1033B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1033B,Nome não encontrado
Proteína animal,g,-,-,BRC1033B,Nome não encontrado
