componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,413,330,185,BRC1036B,Nome não encontrado
Energia,kcal,99,79,44,BRC1036B,Nome não encontrado
Umidade,g,"79,5","63,6","35,8",BRC1036B,Nome não encontrado
Carboidrato total,g,"10,4","8,30","4,67",BRC1036B,Nome não encontrado
Carboidrato disponível,g,"9,20","7,36","4,14",BRC1036B,Nome não encontrado
Proteína,g,"3,63","2,90","1,63",BRC1036B,Nome não encontrado
Lipídios,g,"5,02","4,02","2,26",BRC1036B,Nome não encontrado
Fibra alimentar,g,"1,17","0,94","0,53",BRC1036B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1036B,Nome não encontrado
Cinzas,g,"1,45","1,16","0,65",BRC1036B,Nome não encontrado
Colesterol,mg,"12,0","9,57","5,38",BRC1036B,Nome não encontrado
Ácidos graxos saturados,g,"1,43","1,15","0,65",BRC1036B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,34","1,07","0,60",BRC1036B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,65","0,36",BRC1036B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC1036B,Nome não encontrado
Cálcio,mg,"20,3","16,3","9,16",BRC1036B,Nome não encontrado
Ferro,mg,"0,24","0,19","0,11",BRC1036B,Nome não encontrado
Sódio,mg,367,294,165,BRC1036B,Nome não encontrado
Magnésio,mg,"8,09","6,47","3,64",BRC1036B,Nome não encontrado
Fósforo,mg,"57,4","45,9","25,8",BRC1036B,Nome não encontrado
Potássio,mg,237,190,106,BRC1036B,Nome não encontrado
Manganês,mg,"0,05","0,04","0,02",BRC1036B,Nome não encontrado
Zinco,mg,"0,44","0,35","0,20",BRC1036B,Nome não encontrado
Cobre,mg,"0,06","0,04","0,02",BRC1036B,Nome não encontrado
Selênio,mcg,"4,23","3,38","1,90",BRC1036B,Nome não encontrado
Vitamina A (RE),mcg,"7,59","6,07","3,42",BRC1036B,Nome não encontrado
Vitamina A (RAE),mcg,"7,47","5,97","3,36",BRC1036B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1036B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,04","0,02",BRC1036B,Nome não encontrado
Tiamina,mg,"0,13","0,10","0,06",BRC1036B,Nome não encontrado
Riboflavina,mg,"0,04","0,04","0,02",BRC1036B,Nome não encontrado
Niacina,mg,"0,56","0,45","0,25",BRC1036B,Nome não encontrado
Vitamina B6,mg,"0,06","0,05","0,03",BRC1036B,Nome não encontrado
Vitamina B12,mcg,"0,14","0,11","0,06",BRC1036B,Nome não encontrado
Vitamina C,mg,"2,89","2,31","1,30",BRC1036B,Nome não encontrado
Equivalente de folato,mcg,"3,93","3,14","1,77",BRC1036B,Nome não encontrado
Sal de adição,g,,,,BRC1036B,Nome não encontrado
Açúcar de adição,g,,,,BRC1036B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1036B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1036B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1036B,Nome não encontrado
