componente,unidade,Valor por 100g,Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,823,205,BRC1043B,Nome não encontrado
Energia,kcal,197,49,BRC1043B,Nome não encontrado
Umidade,g,"59,8","14,9",BRC1043B,Nome não encontrado
Carboidrato total,g,"26,1","6,52",BRC1043B,Nome não encontrado
Carboidrato disponível,g,"23,5","5,86",BRC1043B,Nome não encontrado
Proteína,g,"3,79","0,95",BRC1043B,Nome não encontrado
Lipídios,g,"9,09","2,27",BRC1043B,Nome não encontrado
Fibra alimentar,g,"2,63","0,66",BRC1043B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1043B,Nome não encontrado
Cinzas,g,"1,27","0,32",BRC1043B,Nome não encontrado
Colesterol,mg,"74,9","18,7",BRC1043B,Nome não encontrado
Ácidos graxos saturados,g,"1,69","0,42",BRC1043B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,69","1,42",BRC1043B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,05","0,26",BRC1043B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC1043B,Nome não encontrado
Cálcio,mg,"31,6","7,90",BRC1043B,Nome não encontrado
Ferro,mg,"1,91","0,48",BRC1043B,Nome não encontrado
Sódio,mg,279,"70,0",BRC1043B,Nome não encontrado
Magnésio,mg,"16,7","4,18",BRC1043B,Nome não encontrado
Fósforo,mg,"61,2","15,3",BRC1043B,Nome não encontrado
Potássio,mg,168,"42,2",BRC1043B,Nome não encontrado
Manganês,mg,"0,24","0,06",BRC1043B,Nome não encontrado
Zinco,mg,"0,46","0,12",BRC1043B,Nome não encontrado
Cobre,mg,"0,09","0,02",BRC1043B,Nome não encontrado
Selênio,mcg,"3,94","0,99",BRC1043B,Nome não encontrado
Vitamina A (RE),mcg,109,"27,3",BRC1043B,Nome não encontrado
Vitamina A (RAE),mcg,"66,2","16,6",BRC1043B,Nome não encontrado
Vitamina D,mcg,"0,37","0,09",BRC1043B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,68","0,42",BRC1043B,Nome não encontrado
Tiamina,mg,"0,08","0,02",BRC1043B,Nome não encontrado
Riboflavina,mg,"0,06","0,02",BRC1043B,Nome não encontrado
Niacina,mg,"0,01","0,00",BRC1043B,Nome não encontrado
Vitamina B6,mg,"0,17","0,04",BRC1043B,Nome não encontrado
Vitamina B12,mcg,"0,19","0,05",BRC1043B,Nome não encontrado
Vitamina C,mg,"17,3","4,31",BRC1043B,Nome não encontrado
Equivalente de folato,mcg,"60,2","15,0",BRC1043B,Nome não encontrado
Sal de adição,g,"0,34","0,09",BRC1043B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1043B,Nome não encontrado
Gordura de adição,g,-,-,BRC1043B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1043B,Nome não encontrado
Proteína animal,g,-,-,BRC1043B,Nome não encontrado
