componente,unidade,Valor por 100g,Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,826,206,BRC1044B,Nome não encontrado
Energia,kcal,197,49,BRC1044B,Nome não encontrado
Umidade,g,"60,0","15,0",BRC1044B,Nome não encontrado
Carboidrato total,g,"26,2","6,54",BRC1044B,Nome não encontrado
Carboidrato disponível,g,"23,5","5,89",BRC1044B,Nome não encontrado
Proteína,g,"3,80","0,95",BRC1044B,Nome não encontrado
Lipídios,g,"9,12","2,28",BRC1044B,Nome não encontrado
Fibra alimentar,g,"2,64","0,66",BRC1044B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1044B,Nome não encontrado
Cinzas,g,"0,93","0,23",BRC1044B,Nome não encontrado
Colesterol,mg,"75,2","18,8",BRC1044B,Nome não encontrado
Ácidos graxos saturados,g,"1,70","0,42",BRC1044B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,71","1,43",BRC1044B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,05","0,26",BRC1044B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC1044B,Nome não encontrado
Cálcio,mg,"31,6","7,91",BRC1044B,Nome não encontrado
Ferro,mg,"1,91","0,48",BRC1044B,Nome não encontrado
Sódio,mg,143,"35,9",BRC1044B,Nome não encontrado
Magnésio,mg,"16,8","4,20",BRC1044B,Nome não encontrado
Fósforo,mg,"61,4","15,4",BRC1044B,Nome não encontrado
Potássio,mg,169,"42,4",BRC1044B,Nome não encontrado
Manganês,mg,"0,24","0,06",BRC1044B,Nome não encontrado
Zinco,mg,"0,46","0,12",BRC1044B,Nome não encontrado
Cobre,mg,"0,09","0,02",BRC1044B,Nome não encontrado
Selênio,mcg,"3,96","0,99",BRC1044B,Nome não encontrado
Vitamina A (RE),mcg,109,"27,4",BRC1044B,Nome não encontrado
Vitamina A (RAE),mcg,"66,4","16,6",BRC1044B,Nome não encontrado
Vitamina D,mcg,"0,37","0,09",BRC1044B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,69","0,42",BRC1044B,Nome não encontrado
Tiamina,mg,"0,08","0,02",BRC1044B,Nome não encontrado
Riboflavina,mg,"0,06","0,02",BRC1044B,Nome não encontrado
Niacina,mg,"0,01","0,00",BRC1044B,Nome não encontrado
Vitamina B6,mg,"0,17","0,04",BRC1044B,Nome não encontrado
Vitamina B12,mcg,"0,19","0,05",BRC1044B,Nome não encontrado
Vitamina C,mg,"17,3","4,33",BRC1044B,Nome não encontrado
Equivalente de folato,mcg,"60,4","15,1",BRC1044B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1044B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1044B,Nome não encontrado
Gordura de adição,g,-,-,BRC1044B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1044B,Nome não encontrado
Proteína animal,g,-,-,BRC1044B,Nome não encontrado
