componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,272,54,354,BRC1056A,Nome não encontrado
Energia,kcal,64,12,83,BRC1056A,Nome não encontrado
Umidade,g,"83,8","16,8",108,BRC1056A,Nome não encontrado
Carboidrato total,g,"12,5","2,51","16,3",BRC1056A,Nome não encontrado
Carboidrato disponível,g,"11,4","2,29","14,9",BRC1056A,Nome não encontrado
Proteína,g,"1,91","0,38","2,49",BRC1056A,Nome não encontrado
Lipídios,g,"1,00","0,20","1,30",BRC1056A,Nome não encontrado
Fibra alimentar,g,"1,10","0,22","1,43",BRC1056A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1056A,Nome não encontrado
Cinzas,g,"0,78","0,16","1,02",BRC1056A,Nome não encontrado
Colesterol,mg,"1,29","0,26","1,68",BRC1056A,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,04","0,25",BRC1056A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,22","0,04","0,29",BRC1056A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,53","0,11","0,69",BRC1056A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,02",BRC1056A,Nome não encontrado
Cálcio,mg,"7,87","1,57","10,2",BRC1056A,Nome não encontrado
Ferro,mg,"0,30","0,06","0,39",BRC1056A,Nome não encontrado
Sódio,mg,192,"38,4",249,BRC1056A,Nome não encontrado
Magnésio,mg,"5,88","1,18","7,64",BRC1056A,Nome não encontrado
Fósforo,mg,"26,7","5,34","34,7",BRC1056A,Nome não encontrado
Potássio,mg,120,"24,0",156,BRC1056A,Nome não encontrado
Manganês,mg,"1,44","0,29","1,88",BRC1056A,Nome não encontrado
Zinco,mg,"0,27","0,05","0,35",BRC1056A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC1056A,Nome não encontrado
Selênio,mcg,"0,68","0,14","0,89",BRC1056A,Nome não encontrado
Vitamina A (RE),mcg,"29,7","5,94","38,6",BRC1056A,Nome não encontrado
Vitamina A (RAE),mcg,"15,0","3,01","19,5",BRC1056A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1056A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,34","0,07","0,44",BRC1056A,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC1056A,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,01",BRC1056A,Nome não encontrado
Niacina,mg,"0,52","0,10","0,68",BRC1056A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC1056A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,01",BRC1056A,Nome não encontrado
Vitamina C,mg,"2,49","0,50","3,23",BRC1056A,Nome não encontrado
Equivalente de folato,mcg,"26,9","5,39","35,0",BRC1056A,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC1056A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1056A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1056A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1056A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1056A,Nome não encontrado
