componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,364,473,BRC1088B,Nome não encontrado
Energia,kcal,87,113,BRC1088B,Nome não encontrado
Umidade,g,"81,6",106,BRC1088B,Nome não encontrado
Carboidrato total,g,"7,18","9,33",BRC1088B,Nome não encontrado
Carboidrato disponível,g,"6,04","7,85",BRC1088B,Nome não encontrado
Proteína,g,"6,13","7,97",BRC1088B,Nome não encontrado
Lipídios,g,"4,01","5,21",BRC1088B,Nome não encontrado
Fibra alimentar,g,"1,14","1,48",BRC1088B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1088B,Nome não encontrado
Cinzas,g,"1,09","1,42",BRC1088B,Nome não encontrado
Colesterol,mg,"14,4","18,7",BRC1088B,Nome não encontrado
Ácidos graxos saturados,g,"1,81","2,35",BRC1088B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,20","1,56",BRC1088B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,76",BRC1088B,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,10",BRC1088B,Nome não encontrado
Cálcio,mg,"32,5","42,2",BRC1088B,Nome não encontrado
Ferro,mg,"0,64","0,83",BRC1088B,Nome não encontrado
Sódio,mg,212,275,BRC1088B,Nome não encontrado
Magnésio,mg,"9,39","12,2",BRC1088B,Nome não encontrado
Fósforo,mg,"62,1","80,8",BRC1088B,Nome não encontrado
Potássio,mg,163,212,BRC1088B,Nome não encontrado
Manganês,mg,"0,15","0,20",BRC1088B,Nome não encontrado
Zinco,mg,"1,20","1,56",BRC1088B,Nome não encontrado
Cobre,mg,"0,06","0,07",BRC1088B,Nome não encontrado
Selênio,mcg,"1,63","2,12",BRC1088B,Nome não encontrado
Vitamina A (RE),mcg,271,353,BRC1088B,Nome não encontrado
Vitamina A (RAE),mcg,149,193,BRC1088B,Nome não encontrado
Vitamina D,mcg,"0,30","0,40",BRC1088B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,23","4,20",BRC1088B,Nome não encontrado
Tiamina,mg,"0,04","0,05",BRC1088B,Nome não encontrado
Riboflavina,mg,"0,05","0,07",BRC1088B,Nome não encontrado
Niacina,mg,"0,67","0,87",BRC1088B,Nome não encontrado
Vitamina B6,mg,"0,04","0,05",BRC1088B,Nome não encontrado
Vitamina B12,mcg,"0,28","0,37",BRC1088B,Nome não encontrado
Vitamina C,mg,"3,38","4,39",BRC1088B,Nome não encontrado
Equivalente de folato,mcg,"6,74","8,76",BRC1088B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1088B,Nome não encontrado
Açúcar de adição,g,"0,47","0,61",BRC1088B,Nome não encontrado
Gordura de adição,g,-,-,BRC1088B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1088B,Nome não encontrado
Proteína animal,g,-,-,BRC1088B,Nome não encontrado
