componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Umidade,g,"80,3",192,132,BRC1122A,Nome não encontrado
Carboidrato total,g,"14,0","33,7","23,2",BRC1122A,Nome não encontrado
Carboidrato disponível,g,"10,1","24,2","16,6",BRC1122A,Nome não encontrado
Proteína,g,"2,21","5,31","3,65",BRC1122A,Nome não encontrado
Lipídios,g,"2,24","5,38","3,70",BRC1122A,Nome não encontrado
Fibra alimentar,g,"3,97","9,53","6,55",BRC1122A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Cinzas,g,"0,85","2,04","1,40",BRC1122A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Ácidos graxos saturados,g,"0,81","1,94","1,33",BRC1122A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,02","2,46","1,69",BRC1122A,Nome não encontrado
Ácidos graxos poliinsaturados,g,281,676,464,BRC1122A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Cálcio,mg,119,285,196,BRC1122A,Nome não encontrado
Ferro,mg,"1,57","3,76","2,58",BRC1122A,Nome não encontrado
Sódio,mg,"37,2","89,3","61,4",BRC1122A,Nome não encontrado
Magnésio,mg,"59,8",143,"98,7",BRC1122A,Nome não encontrado
Fósforo,mg,123,297,204,BRC1122A,Nome não encontrado
Potássio,mg,176,424,291,BRC1122A,Nome não encontrado
Manganês,mg,"0,64","1,53","1,05",BRC1122A,Nome não encontrado
Zinco,mg,"0,80","1,92","1,32",BRC1122A,Nome não encontrado
Cobre,mg,"33,7","80,8","55,6",BRC1122A,Nome não encontrado
Selênio,mcg,"3,41","8,18","5,63",BRC1122A,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC1122A,Nome não encontrado
Vitamina A (RAE),mcg,"56,7",136,"93,6",BRC1122A,Nome não encontrado
Vitamina D,mcg,"0,90","2,16","1,49",BRC1122A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","1,04","0,71",BRC1122A,Nome não encontrado
Tiamina,mg,"24,3","58,3","40,1",BRC1122A,Nome não encontrado
Riboflavina,mg,127,306,210,BRC1122A,Nome não encontrado
Niacina,mg,"0,57","1,37","0,94",BRC1122A,Nome não encontrado
Vitamina B6,mg,"35,1","84,3","57,9",BRC1122A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Equivalente de folato,mcg,"5,00","12,0","8,25",BRC1122A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1122A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1122A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1122A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1122A,Nome não encontrado
