componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,610,304,670,548,BRC1143A,Nome não encontrado
Energia,kcal,145,72,159,130,BRC1143A,Nome não encontrado
Umidade,g,"68,1","34,0","74,9","61,3",BRC1143A,Nome não encontrado
Carboidrato total,g,"20,4","10,2","22,4","18,3",BRC1143A,Nome não encontrado
Carboidrato disponível,g,"19,3","9,63","21,2","17,3",BRC1143A,Nome não encontrado
Proteína,g,"5,93","2,96","6,52","5,34",BRC1143A,Nome não encontrado
Lipídios,g,"4,66","2,33","5,13","4,20",BRC1143A,Nome não encontrado
Fibra alimentar,g,"1,12","0,56","1,24","1,01",BRC1143A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1143A,Nome não encontrado
Cinzas,g,"0,97","0,49","1,07","0,87",BRC1143A,Nome não encontrado
Colesterol,mg,"7,77","3,88","8,54","6,99",BRC1143A,Nome não encontrado
Ácidos graxos saturados,g,"0,97","0,48","1,06","0,87",BRC1143A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,19","0,60","1,31","1,07",BRC1143A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,30","1,15","2,53","2,07",BRC1143A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03","0,06","0,05",BRC1143A,Nome não encontrado
Cálcio,mg,"8,79","4,39","9,67","7,91",BRC1143A,Nome não encontrado
Ferro,mg,"0,52","0,26","0,58","0,47",BRC1143A,Nome não encontrado
Sódio,mg,256,128,281,230,BRC1143A,Nome não encontrado
Magnésio,mg,"4,45","2,22","4,89","4,00",BRC1143A,Nome não encontrado
Fósforo,mg,"50,8","25,4","55,8","45,7",BRC1143A,Nome não encontrado
Potássio,mg,102,"51,0",112,"91,8",BRC1143A,Nome não encontrado
Manganês,mg,"0,17","0,08","0,18","0,15",BRC1143A,Nome não encontrado
Zinco,mg,"0,94","0,47","1,03","0,84",BRC1143A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,08","0,07",BRC1143A,Nome não encontrado
Selênio,mcg,"1,34","0,67","1,47","1,20",BRC1143A,Nome não encontrado
Vitamina A (RE),mcg,"23,6","11,8","26,0","21,3",BRC1143A,Nome não encontrado
Vitamina A (RAE),mcg,"12,0","5,99","13,2","10,8",BRC1143A,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,03","0,03",BRC1143A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,19","0,41","0,33",BRC1143A,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,06","0,05",BRC1143A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,02","0,01",BRC1143A,Nome não encontrado
Niacina,mg,"1,08","0,54","1,19","0,97",BRC1143A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,02","0,02",BRC1143A,Nome não encontrado
Vitamina B12,mcg,"0,14","0,07","0,15","0,12",BRC1143A,Nome não encontrado
Vitamina C,mg,"3,44","1,72","3,79","3,10",BRC1143A,Nome não encontrado
Equivalente de folato,mcg,"50,9","25,4","56,0","45,8",BRC1143A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1143A,Nome não encontrado
Açúcar de adição,g,"0,32","0,16","0,35","0,29",BRC1143A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1143A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1143A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1143A,Nome não encontrado
