componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1558,BRC1154A,Nome não encontrado
Energia,kcal,376,BRC1154A,Nome não encontrado
Umidade,g,"42,2",BRC1154A,Nome não encontrado
Carboidrato total,g,"20,7",BRC1154A,Nome não encontrado
Carboidrato disponível,g,"19,0",BRC1154A,Nome não encontrado
Proteína,g,"6,16",BRC1154A,Nome não encontrado
Lipídios,g,"30,2",BRC1154A,Nome não encontrado
Fibra alimentar,g,"1,65",BRC1154A,Nome não encontrado
Álcool,g,"0,00",BRC1154A,Nome não encontrado
Cinzas,g,"0,83",BRC1154A,Nome não encontrado
Colesterol,mg,"37,0",BRC1154A,Nome não encontrado
Ácidos graxos saturados,g,"9,51",BRC1154A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"15,7",BRC1154A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,27",BRC1154A,Nome não encontrado
Ácidos graxos trans,g,"0,36",BRC1154A,Nome não encontrado
Cálcio,mg,"15,2",BRC1154A,Nome não encontrado
Ferro,mg,"1,32",BRC1154A,Nome não encontrado
Sódio,mg,"99,5",BRC1154A,Nome não encontrado
Magnésio,mg,"14,3",BRC1154A,Nome não encontrado
Fósforo,mg,"78,7",BRC1154A,Nome não encontrado
Potássio,mg,221,BRC1154A,Nome não encontrado
Manganês,mg,"0,17",BRC1154A,Nome não encontrado
Zinco,mg,"0,49",BRC1154A,Nome não encontrado
Cobre,mg,"0,09",BRC1154A,Nome não encontrado
Selênio,mcg,"1,80",BRC1154A,Nome não encontrado
Vitamina A (RE),mcg,110,BRC1154A,Nome não encontrado
Vitamina A (RAE),mcg,109,BRC1154A,Nome não encontrado
Vitamina D,mcg,"0,03",BRC1154A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,40",BRC1154A,Nome não encontrado
Tiamina,mg,"0,10",BRC1154A,Nome não encontrado
Riboflavina,mg,"0,01",BRC1154A,Nome não encontrado
Niacina,mg,"0,64",BRC1154A,Nome não encontrado
Vitamina B6,mg,"0,12",BRC1154A,Nome não encontrado
Vitamina B12,mcg,"0,20",BRC1154A,Nome não encontrado
Vitamina C,mg,"4,69",BRC1154A,Nome não encontrado
Equivalente de folato,mcg,"48,7",BRC1154A,Nome não encontrado
Sal de adição,g,,BRC1154A,Nome não encontrado
Açúcar de adição,g,,BRC1154A,Nome não encontrado
Gordura de adição,g,-,BRC1154A,Nome não encontrado
Proteína vegetal,g,-,BRC1154A,Nome não encontrado
Proteína animal,g,-,BRC1154A,Nome não encontrado
