componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,193,BRC1154B,Nome não encontrado
Energia,kcal,46,BRC1154B,Nome não encontrado
Umidade,g,"86,1",BRC1154B,Nome não encontrado
Carboidrato total,g,"10,6",BRC1154B,Nome não encontrado
Carboidrato disponível,g,"7,66",BRC1154B,Nome não encontrado
Proteína,g,"1,73",BRC1154B,Nome não encontrado
Lipídios,g,"0,25",BRC1154B,Nome não encontrado
Fibra alimentar,g,"2,97",BRC1154B,Nome não encontrado
Álcool,g,"0,00",BRC1154B,Nome não encontrado
Cinzas,g,"1,30",BRC1154B,Nome não encontrado
Colesterol,mg,"0,00",BRC1154B,Nome não encontrado
Ácidos graxos saturados,g,"0,06",BRC1154B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01",BRC1154B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10",BRC1154B,Nome não encontrado
Ácidos graxos trans,g,"0,02",BRC1154B,Nome não encontrado
Cálcio,mg,"31,2",BRC1154B,Nome não encontrado
Ferro,mg,"0,42",BRC1154B,Nome não encontrado
Sódio,mg,124,BRC1154B,Nome não encontrado
Magnésio,mg,"19,3",BRC1154B,Nome não encontrado
Fósforo,mg,"34,0",BRC1154B,Nome não encontrado
Potássio,mg,270,BRC1154B,Nome não encontrado
Manganês,mg,"0,18",BRC1154B,Nome não encontrado
Zinco,mg,"0,24",BRC1154B,Nome não encontrado
Cobre,mg,"0,09",BRC1154B,Nome não encontrado
Selênio,mcg,"0,42",BRC1154B,Nome não encontrado
Vitamina A (RE),mcg,334,BRC1154B,Nome não encontrado
Vitamina A (RAE),mcg,167,BRC1154B,Nome não encontrado
Vitamina D,mcg,"0,00",BRC1154B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,76",BRC1154B,Nome não encontrado
Tiamina,mg,"0,03",BRC1154B,Nome não encontrado
Riboflavina,mg,"0,04",BRC1154B,Nome não encontrado
Niacina,mg,"0,00",BRC1154B,Nome não encontrado
Vitamina B6,mg,"0,03",BRC1154B,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC1154B,Nome não encontrado
Vitamina C,mg,"13,4",BRC1154B,Nome não encontrado
Equivalente de folato,mcg,"28,9",BRC1154B,Nome não encontrado
Sal de adição,g,"0,00",BRC1154B,Nome não encontrado
Açúcar de adição,g,"0,32",BRC1154B,Nome não encontrado
Gordura de adição,g,-,BRC1154B,Nome não encontrado
Proteína vegetal,g,-,BRC1154B,Nome não encontrado
Proteína animal,g,-,BRC1154B,Nome não encontrado
