componente,unidade,Valor por 100g,Colher chá rasa (4 g),codigo_alimento,nome_alimento
Energia,kJ,376,15,BRC1191B,Nome não encontrado
Energia,kcal,89,3,BRC1191B,Nome não encontrado
Umidade,g,"74,2","2,97",BRC1191B,Nome não encontrado
Carboidrato total,g,"18,4","0,74",BRC1191B,Nome não encontrado
Carboidrato disponível,g,"14,0","0,56",BRC1191B,Nome não encontrado
Proteína,g,"5,60","0,22",BRC1191B,Nome não encontrado
Lipídios,g,"0,20","0,01",BRC1191B,Nome não encontrado
Fibra alimentar,g,"4,40","0,18",BRC1191B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1191B,Nome não encontrado
Cinzas,g,"1,50","0,06",BRC1191B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1191B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC1191B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC1191B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC1191B,Nome não encontrado
Ácidos graxos trans,g,,,BRC1191B,Nome não encontrado
Cálcio,mg,"100,0","4,00",BRC1191B,Nome não encontrado
Ferro,mg,"0,80","0,03",BRC1191B,Nome não encontrado
Sódio,mg,"24,0","0,96",BRC1191B,Nome não encontrado
Magnésio,mg,"46,0","1,84",BRC1191B,Nome não encontrado
Fósforo,mg,"79,0","3,16",BRC1191B,Nome não encontrado
Potássio,mg,500,"20,0",BRC1191B,Nome não encontrado
Manganês,mg,"0,14","0,01",BRC1191B,Nome não encontrado
Zinco,mg,"0,70","0,03",BRC1191B,Nome não encontrado
Cobre,mg,"0,03","0,00",BRC1191B,Nome não encontrado
Selênio,mcg,"9,00","0,36",BRC1191B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC1191B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC1191B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1191B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,40","0,06",BRC1191B,Nome não encontrado
Tiamina,mg,"0,06","0,00",BRC1191B,Nome não encontrado
Riboflavina,mg,"0,15","0,01",BRC1191B,Nome não encontrado
Niacina,mg,"0,60","0,02",BRC1191B,Nome não encontrado
Vitamina B6,mg,"0,32","0,01",BRC1191B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1191B,Nome não encontrado
Vitamina C,mg,"75,0","3,00",BRC1191B,Nome não encontrado
Equivalente de folato,mcg,"50,0","2,00",BRC1191B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1191B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1191B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC1191B,Nome não encontrado
Proteína vegetal,g,"5,60","0,22",BRC1191B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC1191B,Nome não encontrado
